Town,FamilyType,TotalHouseholds,TotalPopulation,NonResSumHouseholds,NonResSumPopulation
諸岡３丁目,夫婦と子供から成る世帯,506,1876,5,5
諸岡３丁目,その他の核家族世帯,120,289,5,5
諸岡３丁目,核家族以外の世帯,75,291,5,5
諸岡３丁目,非親族を含む世帯,14,38,5,5
諸岡３丁目,単独世帯,699,699,5,5
諸岡４丁目,夫婦のみの世帯,146,292,0,0
諸岡４丁目,夫婦と子供から成る世帯,160,564,0,0
諸岡４丁目,その他の核家族世帯,73,166,0,0
諸岡４丁目,核家族以外の世帯,57,217,0,0
諸岡４丁目,非親族を含む世帯,17,43,0,0
諸岡４丁目,単独世帯,380,380,0,0
諸岡５丁目,夫婦のみの世帯,136,272,37,37
諸岡５丁目,夫婦と子供から成る世帯,215,768,37,37
諸岡５丁目,その他の核家族世帯,62,150,37,37
諸岡５丁目,核家族以外の世帯,41,158,37,37
諸岡５丁目,非親族を含む世帯,6,12,37,37
諸岡５丁目,単独世帯,464,464,37,37
諸岡６丁目,夫婦のみの世帯,109,218,22,22
諸岡６丁目,夫婦と子供から成る世帯,154,530,22,22
諸岡６丁目,その他の核家族世帯,42,98,22,22
諸岡６丁目,核家族以外の世帯,32,128,22,22
諸岡６丁目,非親族を含む世帯,12,29,22,22
諸岡６丁目,単独世帯,289,289,22,22
麦野２丁目,夫婦のみの世帯,85,170,0,0
麦野２丁目,夫婦と子供から成る世帯,143,519,0,0
麦野２丁目,その他の核家族世帯,49,125,0,0
麦野２丁目,核家族以外の世帯,18,69,0,0
麦野２丁目,非親族を含む世帯,3,8,0,0
麦野２丁目,単独世帯,107,107,0,0
麦野５丁目,夫婦のみの世帯,133,266,4,4
麦野５丁目,夫婦と子供から成る世帯,176,626,4,4
麦野５丁目,その他の核家族世帯,88,209,4,4
麦野５丁目,核家族以外の世帯,44,170,4,4
麦野５丁目,非親族を含む世帯,9,23,4,4
麦野５丁目,単独世帯,349,349,4,4
井相田１丁目,夫婦のみの世帯,8,16,18,18
井相田１丁目,夫婦と子供から成る世帯,33,128,18,18
井相田１丁目,その他の核家族世帯,7,18,18,18
井相田１丁目,核家族以外の世帯,0,0,18,18
井相田１丁目,非親族を含む世帯,1,2,18,18
井相田１丁目,単独世帯,40,40,18,18
井相田２丁目,夫婦のみの世帯,22,44,0,0
井相田２丁目,夫婦と子供から成る世帯,78,287,0,0
井相田２丁目,その他の核家族世帯,9,25,0,0
井相田２丁目,核家族以外の世帯,5,20,0,0
井相田２丁目,非親族を含む世帯,2,4,0,0
井相田２丁目,単独世帯,71,71,0,0
井相田３丁目,夫婦のみの世帯,106,212,0,0
井相田３丁目,夫婦と子供から成る世帯,147,529,0,0
井相田３丁目,その他の核家族世帯,23,59,0,0
井相田３丁目,核家族以外の世帯,29,118,0,0
井相田３丁目,非親族を含む世帯,12,28,0,0
井相田３丁目,単独世帯,248,248,0,0
三筑１丁目,夫婦のみの世帯,63,126,61,61
三筑１丁目,夫婦と子供から成る世帯,179,677,61,61
三筑１丁目,その他の核家族世帯,34,85,61,61
三筑１丁目,核家族以外の世帯,19,74,61,61
三筑１丁目,非親族を含む世帯,5,11,61,61
三筑１丁目,単独世帯,165,165,61,61
三筑２丁目,夫婦のみの世帯,118,236,2,2
三筑２丁目,夫婦と子供から成る世帯,234,872,2,2
三筑２丁目,その他の核家族世帯,82,215,2,2
三筑２丁目,核家族以外の世帯,37,145,2,2
三筑２丁目,非親族を含む世帯,9,22,2,2
三筑２丁目,単独世帯,424,424,2,2
相生町１丁目,夫婦のみの世帯,46,92,0,0
相生町１丁目,夫婦と子供から成る世帯,89,321,0,0
相生町１丁目,その他の核家族世帯,25,60,0,0
相生町１丁目,核家族以外の世帯,4,16,0,0
相生町１丁目,非親族を含む世帯,1,2,0,0
相生町１丁目,単独世帯,33,33,0,0
相生町２丁目,夫婦のみの世帯,39,78,0,0
相生町２丁目,夫婦と子供から成る世帯,51,182,0,0
相生町２丁目,その他の核家族世帯,13,28,0,0
相生町２丁目,核家族以外の世帯,10,40,0,0
相生町２丁目,非親族を含む世帯,3,6,0,0
相生町２丁目,単独世帯,224,224,0,0
相生町３丁目,夫婦のみの世帯,59,118,0,0
相生町３丁目,夫婦と子供から成る世帯,87,308,0,0
相生町３丁目,その他の核家族世帯,47,116,0,0
相生町３丁目,核家族以外の世帯,16,49,0,0
相生町３丁目,非親族を含む世帯,8,21,0,0
相生町３丁目,単独世帯,201,201,0,0
銀天町１丁目,夫婦のみの世帯,20,40,1,1
銀天町１丁目,夫婦と子供から成る世帯,37,128,1,1
銀天町１丁目,その他の核家族世帯,14,35,1,1
銀天町１丁目,核家族以外の世帯,4,17,1,1
銀天町１丁目,非親族を含む世帯,0,0,1,1
銀天町１丁目,単独世帯,57,57,1,1
銀天町２丁目,夫婦のみの世帯,19,38,7,7
銀天町２丁目,夫婦と子供から成る世帯,19,68,7,7
銀天町２丁目,その他の核家族世帯,7,17,7,7
銀天町２丁目,核家族以外の世帯,2,5,7,7
銀天町２丁目,非親族を含む世帯,2,4,7,7
銀天町２丁目,単独世帯,116,116,7,7
銀天町３丁目,夫婦のみの世帯,17,34,0,0
銀天町３丁目,夫婦と子供から成る世帯,15,50,0,0
銀天町３丁目,その他の核家族世帯,9,18,0,0
銀天町３丁目,核家族以外の世帯,5,13,0,0
銀天町３丁目,非親族を含む世帯,4,8,0,0
銀天町３丁目,単独世帯,167,167,0,0
寿町１丁目,夫婦のみの世帯,18,36,0,0
寿町１丁目,夫婦と子供から成る世帯,17,59,0,0
寿町１丁目,その他の核家族世帯,1,2,0,0
寿町１丁目,核家族以外の世帯,0,0,0,0
寿町１丁目,非親族を含む世帯,0,0,0,0
寿町１丁目,単独世帯,5,5,0,0
寿町２丁目,夫婦のみの世帯,71,142,7,7
寿町２丁目,夫婦と子供から成る世帯,65,228,7,7
寿町２丁目,その他の核家族世帯,23,51,7,7
寿町２丁目,核家族以外の世帯,12,42,7,7
寿町２丁目,非親族を含む世帯,7,15,7,7
寿町２丁目,単独世帯,411,411,7,7
寿町３丁目,夫婦のみの世帯,58,116,0,0
寿町３丁目,夫婦と子供から成る世帯,82,290,0,0
寿町３丁目,その他の核家族世帯,31,71,0,0
寿町３丁目,核家族以外の世帯,11,35,0,0
寿町３丁目,非親族を含む世帯,4,8,0,0
寿町３丁目,単独世帯,249,249,0,0
昭南町１丁目,夫婦のみの世帯,27,54,0,0
昭南町１丁目,夫婦と子供から成る世帯,37,132,0,0
昭南町１丁目,その他の核家族世帯,16,38,0,0
昭南町１丁目,核家族以外の世帯,5,25,0,0
昭南町１丁目,非親族を含む世帯,2,4,0,0
昭南町１丁目,単独世帯,173,173,0,0
昭南町２丁目,夫婦のみの世帯,12,24,0,0
昭南町２丁目,夫婦と子供から成る世帯,15,53,0,0
昭南町２丁目,その他の核家族世帯,6,13,0,0
昭南町２丁目,核家族以外の世帯,3,7,0,0
昭南町２丁目,非親族を含む世帯,1,2,0,0
昭南町２丁目,単独世帯,95,95,0,0
昭南町３丁目,夫婦のみの世帯,25,50,0,0
昭南町３丁目,夫婦と子供から成る世帯,15,55,0,0
昭南町３丁目,その他の核家族世帯,12,25,0,0
昭南町３丁目,核家族以外の世帯,11,42,0,0
昭南町３丁目,非親族を含む世帯,2,4,0,0
昭南町３丁目,単独世帯,108,108,0,0
新和町１丁目,夫婦のみの世帯,39,78,0,0
新和町１丁目,夫婦と子供から成る世帯,59,220,0,0
新和町１丁目,その他の核家族世帯,40,98,0,0
新和町１丁目,核家族以外の世帯,18,59,0,0
新和町１丁目,非親族を含む世帯,0,0,0,0
新和町１丁目,単独世帯,103,103,0,0
新和町２丁目,夫婦のみの世帯,44,88,3,3
新和町２丁目,夫婦と子供から成る世帯,88,322,3,3
新和町２丁目,その他の核家族世帯,25,57,3,3
新和町２丁目,核家族以外の世帯,17,75,3,3
新和町２丁目,非親族を含む世帯,3,6,3,3
新和町２丁目,単独世帯,184,184,3,3
西春町１丁目,夫婦のみの世帯,35,70,19,19
西春町１丁目,夫婦と子供から成る世帯,57,217,19,19
西春町１丁目,その他の核家族世帯,37,85,19,19
西春町１丁目,核家族以外の世帯,19,66,19,19
西春町１丁目,非親族を含む世帯,0,0,19,19
西春町１丁目,単独世帯,193,193,19,19
西春町２丁目,夫婦のみの世帯,10,20,40,40
西春町２丁目,夫婦と子供から成る世帯,9,31,40,40
西春町２丁目,その他の核家族世帯,3,7,40,40
西春町２丁目,核家族以外の世帯,4,16,40,40
西春町２丁目,非親族を含む世帯,1,2,40,40
西春町２丁目,単独世帯,80,80,40,40
西春町３丁目,夫婦のみの世帯,37,74,0,0
西春町３丁目,夫婦と子供から成る世帯,50,170,0,0
西春町３丁目,その他の核家族世帯,17,35,0,0
西春町３丁目,核家族以外の世帯,9,33,0,0
西春町３丁目,非親族を含む世帯,1,2,0,0
西春町３丁目,単独世帯,124,124,0,0
西春町４丁目,夫婦のみの世帯,15,30,0,0
西春町４丁目,夫婦と子供から成る世帯,29,103,0,0
西春町４丁目,その他の核家族世帯,18,40,0,0
西春町４丁目,核家族以外の世帯,6,20,0,0
西春町４丁目,非親族を含む世帯,3,9,0,0
西春町４丁目,単独世帯,39,39,0,0
春町２丁目,夫婦のみの世帯,49,98,0,0
春町２丁目,夫婦と子供から成る世帯,68,249,0,0
春町２丁目,その他の核家族世帯,32,76,0,0
春町２丁目,核家族以外の世帯,9,34,0,0
春町２丁目,非親族を含む世帯,5,10,0,0
春町２丁目,単独世帯,174,174,0,0
春町３丁目,夫婦のみの世帯,39,78,0,0
春町３丁目,夫婦と子供から成る世帯,36,124,0,0
春町３丁目,その他の核家族世帯,15,36,0,0
春町３丁目,核家族以外の世帯,7,26,0,0
春町３丁目,非親族を含む世帯,4,8,0,0
春町３丁目,単独世帯,134,134,0,0
東雲町１丁目,夫婦のみの世帯,8,16,0,0
東雲町１丁目,夫婦と子供から成る世帯,3,12,0,0
東雲町１丁目,その他の核家族世帯,2,4,0,0
東雲町１丁目,核家族以外の世帯,1,3,0,0
東雲町１丁目,非親族を含む世帯,1,2,0,0
東雲町１丁目,単独世帯,101,101,0,0
東雲町２丁目,夫婦のみの世帯,33,66,0,0
東雲町２丁目,夫婦と子供から成る世帯,65,226,0,0
東雲町２丁目,その他の核家族世帯,26,63,0,0
東雲町２丁目,核家族以外の世帯,6,21,0,0
東雲町２丁目,非親族を含む世帯,4,8,0,0
東雲町２丁目,単独世帯,132,132,0,0
東雲町３丁目,夫婦のみの世帯,26,52,0,0
東雲町３丁目,夫婦と子供から成る世帯,39,136,0,0
東雲町３丁目,その他の核家族世帯,10,25,0,0
東雲町３丁目,核家族以外の世帯,10,33,0,0
東雲町３丁目,非親族を含む世帯,0,0,0,0
東雲町３丁目,単独世帯,81,81,0,0
東雲町４丁目,夫婦のみの世帯,13,26,0,0
東雲町４丁目,夫婦と子供から成る世帯,17,59,0,0
東雲町４丁目,その他の核家族世帯,6,16,0,0
東雲町４丁目,核家族以外の世帯,5,17,0,0
東雲町４丁目,非親族を含む世帯,0,0,0,0
東雲町４丁目,単独世帯,99,99,0,0
光丘町２丁目,夫婦のみの世帯,17,34,5,5
光丘町２丁目,夫婦と子供から成る世帯,46,175,5,5
光丘町２丁目,その他の核家族世帯,8,18,5,5
光丘町２丁目,核家族以外の世帯,6,25,5,5
光丘町２丁目,非親族を含む世帯,0,0,5,5
光丘町２丁目,単独世帯,82,82,5,5
光丘町３丁目,夫婦のみの世帯,19,38,1,1
光丘町３丁目,夫婦と子供から成る世帯,36,129,1,1
光丘町３丁目,その他の核家族世帯,11,26,1,1
光丘町３丁目,核家族以外の世帯,5,20,1,1
光丘町３丁目,非親族を含む世帯,2,4,1,1
光丘町３丁目,単独世帯,64,64,1,1
南本町１丁目,夫婦のみの世帯,19,38,0,0
南本町１丁目,夫婦と子供から成る世帯,11,41,0,0
南本町１丁目,その他の核家族世帯,8,18,0,0
南本町１丁目,核家族以外の世帯,6,25,0,0
南本町１丁目,非親族を含む世帯,2,4,0,0
南本町１丁目,単独世帯,91,91,0,0
南本町２丁目,夫婦のみの世帯,33,66,0,0
南本町２丁目,夫婦と子供から成る世帯,28,102,0,0
南本町２丁目,その他の核家族世帯,23,48,0,0
南本町２丁目,核家族以外の世帯,11,43,0,0
南本町２丁目,非親族を含む世帯,3,7,0,0
南本町２丁目,単独世帯,119,119,0,0
南八幡町１丁目,夫婦のみの世帯,39,78,1,1
南八幡町１丁目,夫婦と子供から成る世帯,77,284,1,1
南八幡町１丁目,その他の核家族世帯,22,57,1,1
南八幡町１丁目,核家族以外の世帯,11,38,1,1
南八幡町１丁目,非親族を含む世帯,3,9,1,1
南八幡町１丁目,単独世帯,220,220,1,1
竹丘町１丁目,夫婦のみの世帯,30,60,0,0
竹丘町１丁目,夫婦と子供から成る世帯,31,112,0,0
竹丘町１丁目,その他の核家族世帯,11,27,0,0
竹丘町１丁目,核家族以外の世帯,11,38,0,0
竹丘町１丁目,非親族を含む世帯,2,4,0,0
竹丘町１丁目,単独世帯,97,97,0,0
竹丘町３丁目,夫婦のみの世帯,21,42,0,0
竹丘町３丁目,夫婦と子供から成る世帯,5,17,0,0
竹丘町３丁目,その他の核家族世帯,8,16,0,0
竹丘町３丁目,核家族以外の世帯,4,10,0,0
竹丘町３丁目,非親族を含む世帯,1,2,0,0
竹丘町３丁目,単独世帯,75,75,0,0
元町１丁目,夫婦のみの世帯,28,56,4,4
元町１丁目,夫婦と子供から成る世帯,30,107,4,4
元町１丁目,その他の核家族世帯,14,30,4,4
元町１丁目,核家族以外の世帯,8,25,4,4
元町１丁目,非親族を含む世帯,1,2,4,4
元町１丁目,単独世帯,132,132,4,4
元町２丁目,夫婦のみの世帯,152,304,0,0
元町２丁目,夫婦と子供から成る世帯,208,750,0,0
元町２丁目,その他の核家族世帯,59,138,0,0
元町２丁目,核家族以外の世帯,31,106,0,0
元町２丁目,非親族を含む世帯,3,9,0,0
元町２丁目,単独世帯,368,368,0,0
元町３丁目,夫婦のみの世帯,6,12,0,0
元町３丁目,夫婦と子供から成る世帯,76,284,0,0
元町３丁目,その他の核家族世帯,3,7,0,0
元町３丁目,核家族以外の世帯,0,0,0,0
元町３丁目,非親族を含む世帯,0,0,0,0
元町３丁目,単独世帯,4,4,0,0
青木２丁目,夫婦のみの世帯,2,4,0,0
青木２丁目,夫婦と子供から成る世帯,2,7,0,0
青木２丁目,その他の核家族世帯,1,4,0,0
青木２丁目,核家族以外の世帯,1,6,0,0
青木２丁目,非親族を含む世帯,0,0,0,0
青木２丁目,単独世帯,0,0,0,0
空港前１丁目,夫婦のみの世帯,1,2,0,0
空港前１丁目,夫婦と子供から成る世帯,1,4,0,0
空港前１丁目,その他の核家族世帯,0,0,0,0
空港前１丁目,核家族以外の世帯,1,7,0,0
空港前１丁目,非親族を含む世帯,0,0,0,0
空港前１丁目,単独世帯,15,15,0,0
空港前２丁目,夫婦のみの世帯,49,98,0,0
空港前２丁目,夫婦と子供から成る世帯,84,297,0,0
空港前２丁目,その他の核家族世帯,24,56,0,0
空港前２丁目,核家族以外の世帯,30,120,0,0
空港前２丁目,非親族を含む世帯,4,8,0,0
空港前２丁目,単独世帯,271,271,0,0
空港前３丁目,夫婦のみの世帯,46,92,0,0
空港前３丁目,夫婦と子供から成る世帯,74,261,0,0
空港前３丁目,その他の核家族世帯,29,73,0,0
空港前３丁目,核家族以外の世帯,37,163,0,0
空港前３丁目,非親族を含む世帯,8,17,0,0
空港前３丁目,単独世帯,384,384,0,0
空港前５丁目,夫婦のみの世帯,29,58,1,1
空港前５丁目,夫婦と子供から成る世帯,44,168,1,1
空港前５丁目,その他の核家族世帯,13,31,1,1
空港前５丁目,核家族以外の世帯,16,69,1,1
空港前５丁目,非親族を含む世帯,1,2,1,1
空港前５丁目,単独世帯,34,34,1,1
東平尾１丁目,夫婦のみの世帯,68,136,11,11
東平尾１丁目,夫婦と子供から成る世帯,113,408,11,11
東平尾１丁目,その他の核家族世帯,20,47,11,11
東平尾１丁目,核家族以外の世帯,11,46,11,11
東平尾１丁目,非親族を含む世帯,5,11,11,11
東平尾１丁目,単独世帯,160,160,11,11
東平尾２丁目,夫婦のみの世帯,75,150,2,2
東平尾２丁目,夫婦と子供から成る世帯,106,381,2,2
東平尾２丁目,その他の核家族世帯,21,49,2,2
東平尾２丁目,核家族以外の世帯,21,84,2,2
東平尾２丁目,非親族を含む世帯,8,21,2,2
東平尾２丁目,単独世帯,104,104,2,2
東平尾３丁目,夫婦のみの世帯,0,0,0,0
東平尾３丁目,夫婦と子供から成る世帯,0,0,0,0
東平尾３丁目,その他の核家族世帯,0,0,0,0
東平尾３丁目,核家族以外の世帯,0,0,0,0
東平尾３丁目,非親族を含む世帯,0,0,0,0
東平尾３丁目,単独世帯,0,0,0,0
東平尾公園１丁目,夫婦のみの世帯,0,0,0,0
東平尾公園１丁目,夫婦と子供から成る世帯,0,0,0,0
東平尾公園１丁目,その他の核家族世帯,0,0,0,0
東平尾公園１丁目,核家族以外の世帯,0,0,0,0
東平尾公園１丁目,非親族を含む世帯,0,0,0,0
東平尾公園１丁目,単独世帯,0,0,0,0
東平尾公園２丁目,夫婦のみの世帯,0,0,0,0
東平尾公園２丁目,夫婦と子供から成る世帯,0,0,0,0
東平尾公園２丁目,その他の核家族世帯,0,0,0,0
東平尾公園２丁目,核家族以外の世帯,0,0,0,0
東平尾公園２丁目,非親族を含む世帯,0,0,0,0
東平尾公園２丁目,単独世帯,0,0,0,0
月隈２丁目,夫婦のみの世帯,41,82,0,0
月隈２丁目,夫婦と子供から成る世帯,107,400,0,0
月隈２丁目,その他の核家族世帯,28,70,0,0
月隈２丁目,核家族以外の世帯,21,93,0,0
月隈２丁目,非親族を含む世帯,2,4,0,0
月隈２丁目,単独世帯,55,55,0,0
月隈３丁目,夫婦のみの世帯,18,36,0,0
月隈３丁目,夫婦と子供から成る世帯,40,153,0,0
月隈３丁目,その他の核家族世帯,15,36,0,0
月隈３丁目,核家族以外の世帯,6,29,0,0
月隈３丁目,非親族を含む世帯,0,0,0,0
月隈３丁目,単独世帯,41,41,0,0
月隈４丁目,夫婦のみの世帯,0,0,0,0
月隈４丁目,夫婦と子供から成る世帯,0,0,0,0
月隈４丁目,その他の核家族世帯,0,0,0,0
月隈４丁目,核家族以外の世帯,0,0,0,0
月隈４丁目,非親族を含む世帯,0,0,0,0
月隈４丁目,単独世帯,0,0,0,0
月隈５丁目,夫婦のみの世帯,0,0,0,0
月隈５丁目,夫婦と子供から成る世帯,0,0,0,0
月隈５丁目,その他の核家族世帯,0,0,0,0
月隈５丁目,核家族以外の世帯,0,0,0,0
月隈５丁目,非親族を含む世帯,0,0,0,0
月隈５丁目,単独世帯,0,0,0,0
月隈６丁目,夫婦のみの世帯,34,68,0,0
月隈６丁目,夫婦と子供から成る世帯,62,221,0,0
月隈６丁目,その他の核家族世帯,17,48,0,0
月隈６丁目,核家族以外の世帯,13,62,0,0
月隈６丁目,非親族を含む世帯,4,9,0,0
月隈６丁目,単独世帯,114,114,0,0
金の隈１丁目,夫婦のみの世帯,132,264,8,8
金の隈１丁目,夫婦と子供から成る世帯,192,733,8,8
金の隈１丁目,その他の核家族世帯,49,119,8,8
金の隈１丁目,核家族以外の世帯,41,176,8,8
金の隈１丁目,非親族を含む世帯,6,12,8,8
金の隈１丁目,単独世帯,235,235,8,8
金の隈２丁目,夫婦のみの世帯,52,104,5,5
金の隈２丁目,夫婦と子供から成る世帯,96,353,5,5
金の隈２丁目,その他の核家族世帯,30,75,5,5
金の隈２丁目,核家族以外の世帯,16,74,5,5
金の隈２丁目,非親族を含む世帯,3,8,5,5
金の隈２丁目,単独世帯,110,110,5,5
博多港,夫婦のみの世帯,0,0,0,0
博多港,夫婦と子供から成る世帯,0,0,0,0
博多港,その他の核家族世帯,0,0,0,0
博多港,核家族以外の世帯,0,0,0,0
博多港,非親族を含む世帯,0,0,0,0
博多港,単独世帯,0,0,0,0
博多駅前２丁目,夫婦のみの世帯,19,38,6,7
博多駅前２丁目,夫婦と子供から成る世帯,4,12,6,7
博多駅前２丁目,その他の核家族世帯,10,22,6,7
博多駅前２丁目,核家族以外の世帯,4,12,6,7
博多駅前２丁目,非親族を含む世帯,1,2,6,7
博多駅前２丁目,単独世帯,259,259,6,7
博多駅東１丁目,夫婦のみの世帯,49,98,8,9
博多駅東１丁目,夫婦と子供から成る世帯,28,95,8,9
博多駅東１丁目,その他の核家族世帯,24,56,8,9
博多駅東１丁目,核家族以外の世帯,12,30,8,9
博多駅東１丁目,非親族を含む世帯,16,33,8,9
博多駅東１丁目,単独世帯,678,678,8,9
博多駅南１丁目,夫婦のみの世帯,33,66,127,128
博多駅南１丁目,夫婦と子供から成る世帯,35,118,127,128
博多駅南１丁目,その他の核家族世帯,18,38,127,128
博多駅南１丁目,核家族以外の世帯,13,41,127,128
博多駅南１丁目,非親族を含む世帯,12,24,127,128
博多駅南１丁目,単独世帯,1094,1094,127,128
山王２丁目,夫婦のみの世帯,34,68,1,2
山王２丁目,夫婦と子供から成る世帯,46,172,1,2
山王２丁目,その他の核家族世帯,15,38,1,2
山王２丁目,核家族以外の世帯,8,30,1,2
山王２丁目,非親族を含む世帯,11,22,1,2
山王２丁目,単独世帯,233,233,1,2
美野島１丁目,夫婦のみの世帯,83,166,28,29
美野島１丁目,夫婦と子供から成る世帯,105,370,28,29
美野島１丁目,その他の核家族世帯,67,149,28,29
美野島１丁目,核家族以外の世帯,47,149,28,29
美野島１丁目,非親族を含む世帯,16,33,28,29
美野島１丁目,単独世帯,1325,1325,28,29
中洲５丁目,夫婦のみの世帯,13,26,1,2
中洲５丁目,夫婦と子供から成る世帯,3,11,1,2
中洲５丁目,その他の核家族世帯,4,10,1,2
中洲５丁目,核家族以外の世帯,1,2,1,2
中洲５丁目,非親族を含む世帯,4,8,1,2
中洲５丁目,単独世帯,505,505,1,2
古門戸町,夫婦のみの世帯,43,86,5,6
古門戸町,夫婦と子供から成る世帯,57,209,5,6
古門戸町,その他の核家族世帯,31,66,5,6
古門戸町,核家族以外の世帯,22,81,5,6
古門戸町,非親族を含む世帯,4,8,5,6
古門戸町,単独世帯,498,498,5,6
神屋町,夫婦のみの世帯,76,152,9,10
神屋町,夫婦と子供から成る世帯,67,237,9,10
神屋町,その他の核家族世帯,42,102,9,10
神屋町,核家族以外の世帯,27,91,9,10
神屋町,非親族を含む世帯,23,48,9,10
神屋町,単独世帯,1199,1199,9,10
石城町,夫婦のみの世帯,46,92,147,148
石城町,夫婦と子供から成る世帯,47,172,147,148
石城町,その他の核家族世帯,32,70,147,148
石城町,核家族以外の世帯,13,38,147,148
石城町,非親族を含む世帯,6,13,147,148
石城町,単独世帯,799,799,147,148
中呉服町,夫婦のみの世帯,36,72,7,8
中呉服町,夫婦と子供から成る世帯,23,80,7,8
中呉服町,その他の核家族世帯,18,39,7,8
中呉服町,核家族以外の世帯,12,32,7,8
中呉服町,非親族を含む世帯,11,23,7,8
中呉服町,単独世帯,811,811,7,8
大博町,夫婦のみの世帯,70,140,41,42
大博町,夫婦と子供から成る世帯,86,311,41,42
大博町,その他の核家族世帯,54,133,41,42
大博町,核家族以外の世帯,34,111,41,42
大博町,非親族を含む世帯,16,38,41,42
大博町,単独世帯,711,711,41,42
千代２丁目,夫婦のみの世帯,59,118,5,6
千代２丁目,夫婦と子供から成る世帯,34,119,5,6
千代２丁目,その他の核家族世帯,49,117,5,6
千代２丁目,核家族以外の世帯,16,49,5,6
千代２丁目,非親族を含む世帯,11,25,5,6
千代２丁目,単独世帯,912,912,5,6
千代３丁目,夫婦のみの世帯,156,312,3,4
千代３丁目,夫婦と子供から成る世帯,126,467,3,4
千代３丁目,その他の核家族世帯,116,279,3,4
千代３丁目,核家族以外の世帯,42,112,3,4
千代３丁目,非親族を含む世帯,24,51,3,4
千代３丁目,単独世帯,990,990,3,4
吉塚本町,夫婦のみの世帯,102,204,12,13
吉塚本町,夫婦と子供から成る世帯,126,433,12,13
吉塚本町,その他の核家族世帯,31,73,12,13
吉塚本町,核家族以外の世帯,19,76,12,13
吉塚本町,非親族を含む世帯,21,45,12,13
吉塚本町,単独世帯,477,477,12,13
豊２丁目,夫婦のみの世帯,56,112,4,5
豊２丁目,夫婦と子供から成る世帯,54,185,4,5
豊２丁目,その他の核家族世帯,10,20,4,5
豊２丁目,核家族以外の世帯,9,24,4,5
豊２丁目,非親族を含む世帯,20,40,4,5
豊２丁目,単独世帯,288,288,4,5
竹下２丁目,夫婦のみの世帯,37,74,94,95
竹下２丁目,夫婦と子供から成る世帯,23,85,94,95
竹下２丁目,その他の核家族世帯,7,15,94,95
竹下２丁目,核家族以外の世帯,6,18,94,95
竹下２丁目,非親族を含む世帯,7,14,94,95
竹下２丁目,単独世帯,374,374,94,95
那珂１丁目,夫婦のみの世帯,117,234,8,9
那珂１丁目,夫婦と子供から成る世帯,197,705,8,9
那珂１丁目,その他の核家族世帯,66,166,8,9
那珂１丁目,核家族以外の世帯,48,188,8,9
那珂１丁目,非親族を含む世帯,10,27,8,9
那珂１丁目,単独世帯,520,520,8,9
麦野３丁目,夫婦のみの世帯,55,110,79,80
麦野３丁目,夫婦と子供から成る世帯,130,501,79,80
麦野３丁目,その他の核家族世帯,30,85,79,80
麦野３丁目,核家族以外の世帯,21,95,79,80
麦野３丁目,非親族を含む世帯,4,10,79,80
麦野３丁目,単独世帯,174,174,79,80
麦野４丁目,夫婦のみの世帯,124,248,5,6
麦野４丁目,夫婦と子供から成る世帯,162,588,5,6
麦野４丁目,その他の核家族世帯,78,187,5,6
麦野４丁目,核家族以外の世帯,34,125,5,6
麦野４丁目,非親族を含む世帯,11,27,5,6
麦野４丁目,単独世帯,533,533,5,6
南八幡町２丁目,夫婦のみの世帯,57,114,1,2
南八幡町２丁目,夫婦と子供から成る世帯,171,628,1,2
南八幡町２丁目,その他の核家族世帯,41,96,1,2
南八幡町２丁目,核家族以外の世帯,16,65,1,2
南八幡町２丁目,非親族を含む世帯,5,11,1,2
南八幡町２丁目,単独世帯,228,228,1,2
月隈１丁目,夫婦のみの世帯,18,36,1,2
月隈１丁目,夫婦と子供から成る世帯,34,128,1,2
月隈１丁目,その他の核家族世帯,7,18,1,2
月隈１丁目,核家族以外の世帯,8,35,1,2
月隈１丁目,非親族を含む世帯,1,3,1,2
月隈１丁目,単独世帯,18,18,1,2
博多駅前４丁目,夫婦のみの世帯,240,480,22,24
博多駅前４丁目,夫婦と子供から成る世帯,176,606,22,24
博多駅前４丁目,その他の核家族世帯,120,276,22,24
博多駅前４丁目,核家族以外の世帯,59,160,22,24
博多駅前４丁目,非親族を含む世帯,31,69,22,24
博多駅前４丁目,単独世帯,2782,2782,22,24
博多駅東３丁目,夫婦のみの世帯,47,94,6,8
博多駅東３丁目,夫婦と子供から成る世帯,24,84,6,8
博多駅東３丁目,その他の核家族世帯,27,61,6,8
博多駅東３丁目,核家族以外の世帯,10,26,6,8
博多駅東３丁目,非親族を含む世帯,13,26,6,8
博多駅東３丁目,単独世帯,818,818,6,8
博多駅南５丁目,夫婦のみの世帯,138,276,102,104
博多駅南５丁目,夫婦と子供から成る世帯,162,574,102,104
博多駅南５丁目,その他の核家族世帯,70,159,102,104
博多駅南５丁目,核家族以外の世帯,53,183,102,104
博多駅南５丁目,非親族を含む世帯,21,44,102,104
博多駅南５丁目,単独世帯,1388,1388,102,104
須崎町,夫婦のみの世帯,54,108,3,5
須崎町,夫婦と子供から成る世帯,49,171,3,5
須崎町,その他の核家族世帯,32,72,3,5
須崎町,核家族以外の世帯,11,41,3,5
須崎町,非親族を含む世帯,7,16,3,5
須崎町,単独世帯,552,552,3,5
吉塚３丁目,夫婦のみの世帯,119,238,8,10
吉塚３丁目,夫婦と子供から成る世帯,149,530,8,10
