家族類型,所有,建て方,延床面積,世帯数
10,1,2,0,13
10,1,2,1,2
10,1,2,2,11
10,1,2,3,1
10,1,2,4,1
10,1,2,5,0
10,1,3,0,0
10,1,3,1,0
10,1,3,2,0
10,1,3,3,0
10,1,3,4,0
10,1,3,5,0
10,2,0,0,2
10,2,0,1,2
10,2,0,2,0
10,2,0,3,2
10,2,0,4,6
10,2,0,5,7
10,2,1,0,0
10,2,1,1,3
10,2,1,2,1
10,2,1,3,0
10,2,1,4,5
10,2,1,5,0
10,2,2,0,3
10,2,2,1,0
10,2,2,2,7
10,2,2,3,0
10,2,2,4,1
10,2,2,5,1
10,2,3,0,12
10,2,3,1,8
10,2,3,2,1
10,2,3,3,1
10,2,3,4,1
10,2,3,5,0
10,3,0,0,0
10,3,0,1,0
10,3,0,2,0
10,3,0,3,0
10,3,0,4,1
10,3,0,5,0
10,3,1,0,0
10,3,1,1,0
10,3,1,2,0
10,3,1,3,0
10,3,1,4,0
10,3,1,5,0
10,3,2,0,0
10,3,2,1,0
10,3,2,2,1
10,3,2,3,1
10,3,2,4,0
10,3,2,5,1
10,3,3,0,0
10,3,3,1,0
10,3,3,2,0
10,3,3,3,0
10,3,3,4,0
10,3,3,5,0
10,4,0,0,0
10,4,0,1,0
10,4,0,2,0
10,4,0,3,1
10,4,0,4,0
10,4,0,5,0
10,4,1,0,1
10,4,1,1,0
10,4,1,2,0
10,4,1,3,1
10,4,1,4,0
10,4,1,5,0
10,4,2,0,0
10,4,2,1,0
10,4,2,2,1
10,4,2,3,2
10,4,2,4,0
10,4,2,5,0
10,4,3,0,0
10,4,3,1,0
10,4,3,2,0
10,4,3,3,0
10,4,3,4,0
10,4,3,5,0
11,0,0,0,1
11,0,0,1,7
11,0,0,2,5
11,0,0,3,8
11,0,0,4,0
11,0,0,5,3
11,0,1,0,0
11,0,1,1,0
11,0,1,2,0
11,0,1,3,0
11,0,1,4,0
11,0,1,5,0
11,0,2,0,0
11,0,2,1,0
11,0,2,2,7
11,0,2,3,4
11,0,2,4,1
11,0,2,5,0
11,0,3,0,0
11,0,3,1,2
11,0,3,2,0
11,0,3,3,0
11,0,3,4,0
11,0,3,5,0
11,1,0,0,0
11,1,0,1,0
11,1,0,2,0
11,1,0,3,0
11,1,0,4,0
11,1,0,5,0
11,1,1,0,0
11,1,1,1,0
11,1,1,2,0
11,1,1,3,0
11,1,1,4,0
11,1,1,5,0
11,1,2,0,0
11,1,2,1,0
11,1,2,2,1
11,1,2,3,0
11,1,2,4,1
11,1,2,5,0
11,1,3,0,0
11,1,3,1,0
11,1,3,2,0
11,1,3,3,0
11,1,3,4,0
11,1,3,5,0
11,2,0,0,1
11,2,0,1,1
11,2,0,2,1
11,2,0,3,0
11,2,0,4,0
11,2,0,5,0
11,2,1,0,0
11,2,1,1,0
11,2,1,2,0
11,2,1,3,1
11,2,1,4,0
11,2,1,5,0
11,2,2,0,2
11,2,2,1,0
11,2,2,2,0
11,2,2,3,2
11,2,2,4,2
11,2,2,5,0
11,2,3,0,0
11,2,3,1,0
11,2,3,2,1
11,2,3,3,0
11,2,3,4,0
11,2,3,5,0
11,3,0,0,0
11,3,0,1,0
11,3,0,2,0
11,3,0,3,0
11,3,0,4,0
11,3,0,5,0
11,3,1,0,0
11,3,1,1,0
11,3,1,2,0
11,3,1,3,0
11,3,1,4,0
11,3,1,5,0
11,3,2,0,0
11,3,2,1,0
11,3,2,2,0
11,3,2,3,0
11,3,2,4,0
11,3,2,5,0
11,3,3,0,0
11,3,3,1,0
11,3,3,2,0
11,3,3,3,0
11,3,3,4,0
11,3,3,5,0
11,4,0,0,0
11,4,0,1,0
11,4,0,2,0
11,4,0,3,0
11,4,0,4,0
11,4,0,5,0
11,4,1,0,0
11,4,1,1,0
11,4,1,2,0
11,4,1,3,0
11,4,1,4,0
11,4,1,5,0
11,4,2,0,0
11,4,2,1,0
11,4,2,2,0
11,4,2,3,0
11,4,2,4,0
11,4,2,5,0
11,4,3,0,1
11,4,3,1,0
11,4,3,2,0
11,4,3,3,0
11,4,3,4,0
11,4,3,5,0
12,0,0,0,2
12,0,0,1,3
12,0,0,2,2
12,0,0,3,6
12,0,0,4,2
12,0,0,5,1
12,0,1,0,0
12,0,1,1,2
12,0,1,2,3
12,0,1,3,9
12,0,1,4,4
12,0,1,5,0
12,0,2,0,7
12,0,2,1,3
12,0,2,2,2
12,0,2,3,29
12,0,2,4,2
12,0,2,5,1
12,0,3,0,4
12,0,3,1,1
12,0,3,2,0
12,0,3,3,2
12,0,3,4,2
12,0,3,5,0
12,1,0,0,0
12,1,0,1,0
12,1,0,2,0
12,1,0,3,0
12,1,0,4,0
12,1,0,5,0
12,1,1,0,0
12,1,1,1,0
12,1,1,2,0
12,1,1,3,0
12,1,1,4,0
12,1,1,5,0
12,1,2,0,0
12,1,2,1,2
12,1,2,2,3
12,1,2,3,0
12,1,2,4,0
12,1,2,5,0
12,1,3,0,0
12,1,3,1,0
12,1,3,2,0
12,1,3,3,0
12,1,3,4,0
12,1,3,5,0
12,2,0,0,0
12,2,0,1,0
12,2,0,2,0
12,2,0,3,0
12,2,0,4,0
12,2,0,5,1
12,2,1,0,0
12,2,1,1,0
12,2,1,2,0
12,2,1,3,0
12,2,1,4,0
12,2,1,5,0
12,2,2,0,0
12,2,2,1,0
12,2,2,2,3
12,2,2,3,0
12,2,2,4,0
12,2,2,5,0
12,2,3,0,0
12,2,3,1,0
12,2,3,2,0
12,2,3,3,0
12,2,3,4,0
12,2,3,5,0
12,3,0,0,0
12,3,0,1,0
12,3,0,2,0
12,3,0,3,0
12,3,0,4,0
12,3,0,5,0
12,3,1,0,0
12,3,1,1,0
12,3,1,2,0
12,3,1,3,0
12,3,1,4,0
12,3,1,5,0
12,3,2,0,0
12,3,2,1,0
12,3,2,2,0
12,3,2,3,0
12,3,2,4,0
12,3,2,5,0
12,3,3,0,0
12,3,3,1,0
12,3,3,2,0
12,3,3,3,0
12,3,3,4,0
12,3,3,5,1
12,4,0,0,0
12,4,0,1,0
12,4,0,2,0
12,4,0,3,1
12,4,0,4,0
12,4,0,5,0
12,4,1,0,0
12,4,1,1,0
12,4,1,2,0
12,4,1,3,0
12,4,1,4,0
12,4,1,5,0
12,4,2,0,0
12,4,2,1,0
12,4,2,2,0
12,4,2,3,0
12,4,2,4,0
12,4,2,5,0
12,4,3,0,0
12,4,3,1,0
12,4,3,2,0
12,4,3,3,0
12,4,3,4,0
12,4,3,5,0
13,0,0,0,10
13,0,0,1,9
13,0,0,2,1
13,0,0,3,3
13,0,0,4,1
13,0,0,5,20
13,0,1,0,0
13,0,1,1,0
13,0,1,2,2
13,0,1,3,1
13,0,1,4,0
13,0,1,5,0
13,0,2,0,6
13,0,2,1,10
13,0,2,2,2
13,0,2,3,165
13,0,2,4,1
13,0,2,5,9
13,0,3,0,2
13,0,3,1,1
13,0,3,2,0
13,0,3,3,1
13,0,3,4,1
13,0,3,5,4
13,1,0,0,0
13,1,0,1,0
13,1,0,2,0
13,1,0,3,0
13,1,0,4,0
13,1,0,5,0
13,1,1,0,0
13,1,1,1,0
13,1,1,2,0
13,1,1,3,0
13,1,1,4,0
13,1,1,5,0
13,1,2,0,13
13,1,2,1,3
13,1,2,2,119
13,1,2,3,7
13,1,2,4,2
13,1,2,5,0
13,1,3,0,0
13,1,3,1,0
13,1,3,2,0
13,1,3,3,0
13,1,3,4,0
13,1,3,5,0
13,2,0,0,2
13,2,0,1,0
13,2,0,2,10
13,2,0,3,5
13,2,0,4,0
13,2,0,5,4
13,2,1,0,3
13,2,1,1,9
13,2,1,2,4
13,2,1,3,9
13,2,1,4,0
13,2,1,5,2
13,2,2,0,592
13,2,2,1,7
13,2,2,2,1
13,2,2,3,0
13,2,2,4,2
13,2,2,5,8
13,2,3,0,6
13,2,3,1,2
13,2,3,2,1
13,2,3,3,0
13,2,3,4,1
13,2,3,5,0
13,3,0,0,0
13,3,0,1,0
13,3,0,2,0
13,3,0,3,1
13,3,0,4,0
13,3,0,5,0
13,3,1,0,0
13,3,1,1,0
13,3,1,2,1
13,3,1,3,0
13,3,1,4,0
13,3,1,5,0
13,3,2,0,0
13,3,2,1,0
13,3,2,2,0
13,3,2,3,0
13,3,2,4,0
13,3,2,5,0
13,3,3,0,1
13,3,3,1,0
13,3,3,2,1
13,3,3,3,0
13,3,3,4,1
13,3,3,5,1
13,4,0,0,0
13,4,0,1,1
13,4,0,2,0
13,4,0,3,1
13,4,0,4,0
13,4,0,5,0
13,4,1,0,3
13,4,1,1,3
13,4,1,2,0
13,4,1,3,0
13,4,1,4,0
13,4,1,5,0
13,4,2,0,1
13,4,2,1,2
13,4,2,2,3
13,4,2,3,0
13,4,2,4,0
13,4,2,5,0
13,4,3,0,1
13,4,3,1,0
13,4,3,2,0
13,4,3,3,0
13,4,3,4,0
13,4,3,5,0
14,0,0,0,0
14,0,0,1,8
14,0,0,2,3
14,0,0,3,0
14,0,0,4,7
14,0,0,5,16
14,0,1,0,1
14,0,1,1,0
14,0,1,2,0
14,0,1,3,5
14,0,1,4,8
14,0,1,5,0
14,0,2,0,13
14,0,2,1,10
14,0,2,2,64
14,0,2,3,246
14,0,2,4,1
14,0,2,5,0
14,0,3,0,0
14,0,3,1,0
14,0,3,2,1
14,0,3,3,0
14,0,3,4,6
14,0,3,5,1
14,1,0,0,0
14,1,0,1,0
14,1,0,2,0
14,1,0,3,0
14,1,0,4,0
14,1,0,5,0
14,1,1,0,0
14,1,1,1,0
14,1,1,2,0
14,1,1,3,0
14,1,1,4,0
14,1,1,5,0
14,1,2,0,1
14,1,2,1,25
14,1,2,2,130
14,1,2,3,15
14,1,2,4,0
14,1,2,5,0
14,1,3,0,0
14,1,3,1,0
14,1,3,2,0
14,1,3,3,0
14,1,3,4,0
14,1,3,5,0
14,2,0,0,4
14,2,0,1,1
14,2,0,2,0
14,2,0,3,1
14,2,0,4,5
14,2,0,5,0
14,2,1,0,4
14,2,1,1,3
14,2,1,2,2
14,2,1,3,1
14,2,1,4,2
14,2,1,5,0
14,2,2,0,205
14,2,2,1,7
14,2,2,2,1
14,2,2,3,1
14,2,2,4,3
14,2,2,5,4
14,2,3,0,2
14,2,3,1,4
14,2,3,2,0
14,2,3,3,0
14,2,3,4,0
14,2,3,5,0
14,3,0,0,1
14,3,0,1,0
14,3,0,2,0
14,3,0,3,1
14,3,0,4,1
14,3,0,5,0
14,3,1,0,0
14,3,1,1,0
14,3,1,2,0
14,3,1,3,0
14,3,1,4,0
14,3,1,5,0
14,3,2,0,1
14,3,2,1,0
14,3,2,2,1
14,3,2,3,0
14,3,2,4,0
14,3,2,5,1
14,3,3,0,0
14,3,3,1,0
14,3,3,2,1
14,3,3,3,1
14,3,3,4,0
14,3,3,5,0
14,4,0,0,0
14,4,0,1,0
14,4,0,2,0
14,4,0,3,1
14,4,0,4,0
14,4,0,5,0
14,4,1,0,0
14,4,1,1,1
14,4,1,2,0
14,4,1,3,1
14,4,1,4,0
14,4,1,5,0
14,4,2,0,0
14,4,2,1,1
14,4,2,2,0
14,4,2,3,1
14,4,2,4,0
14,4,2,5,0
14,4,3,0,1
14,4,3,1,0
14,4,3,2,0
14,4,3,3,0
14,4,3,4,0
14,4,3,5,0
15,0,0,0,9
15,0,0,1,0
15,0,0,2,2
15,0,0,3,23
15,0,0,4,0
15,0,0,5,0
15,0,1,0,0
15,0,1,1,5
15,0,1,2,4
15,0,1,3,3
15,0,1,4,0
15,0,1,5,0
15,0,2,0,5
15,0,2,1,2
15,0,2,2,9
15,0,2,3,134
15,0,2,4,3
15,0,2,5,3
15,0,3,0,0
15,0,3,1,0
15,0,3,2,1
15,0,3,3,2
15,0,3,4,1
15,0,3,5,2
15,1,0,0,0
15,1,0,1,0
15,1,0,2,0
15,1,0,3,0
15,1,0,4,0
15,1,0,5,0
15,1,1,0,0
15,1,1,1,0
15,1,1,2,0
15,1,1,3,0
15,1,1,4,0
15,1,1,5,0
15,1,2,0,5
15,1,2,1,4
15,1,2,2,68
15,1,2,3,19
15,1,2,4,2
15,1,2,5,0
15,1,3,0,0
15,1,3,1,0
15,1,3,2,0
15,1,3,3,0
15,1,3,4,0
15,1,3,5,0
15,2,0,0,4
15,2,0,1,9
15,2,0,2,5
15,2,0,3,15
15,2,0,4,1
15,2,0,5,2
15,2,1,0,0
15,2,1,1,2
15,2,1,2,0
15,2,1,3,1
15,2,1,4,6
15,2,1,5,2
15,2,2,0,1128
15,2,2,1,8
15,2,2,2,0
15,2,2,3,3
15,2,2,4,14
15,2,2,5,2
15,2,3,0,0
15,2,3,1,0
15,2,3,2,1
15,2,3,3,2
15,2,3,4,0
15,2,3,5,0
15,3,0,0,2
15,3,0,1,0
15,3,0,2,1
15,3,0,3,4
15,3,0,4,3
15,3,0,5,2
15,3,1,0,1
15,3,1,1,0
15,3,1,2,0
15,3,1,3,0
15,3,1,4,0
15,3,1,5,0
15,3,2,0,2
15,3,2,1,0
15,3,2,2,9
15,3,2,3,9
15,3,2,4,1
15,3,2,5,1
15,3,3,0,0
15,3,3,1,0
15,3,3,2,0
15,3,3,3,0
15,3,3,4,0
15,3,3,5,1
15,4,0,0,0
15,4,0,1,1
15,4,0,2,4
15,4,0,3,3
15,4,0,4,0
15,4,0,5,0
15,4,1,0,3
15,4,1,1,0
15,4,1,2,0
15,4,1,3,0
15,4,1,4,0
15,4,1,5,0
15,4,2,0,3
15,4,2,1,0
15,4,2,2,2
15,4,2,3,0
15,4,2,4,0
15,4,2,5,0
15,4,3,0,0
15,4,3,1,0
15,4,3,2,1
15,4,3,3,0
15,4,3,4,0
15,4,3,5,0
2,0,0,0,5
2,0,0,1,5
2,0,0,2,8
2,0,0,3,8
2,0,0,4,10
2,0,0,5,15
2,0,1,0,2
2,0,1,1,2
2,0,1,2,6
2,0,1,3,3
2,0,1,4,2
2,0,1,5,0
2,0,2,0,0
2,0,2,1,8
2,0,2,2,70
2,0,2,3,182
2,0,2,4,0
2,0,2,5,1
2,0,3,0,0
2,0,3,1,1
2,0,3,2,0
2,0,3,3,0
2,0,3,4,0
2,0,3,5,0
2,1,0,0,0
2,1,0,1,0
2,1,0,2,0
2,1,0,3,0
2,1,0,4,0
2,1,0,5,0
2,1,1,0,0
2,1,1,1,0
2,1,1,2,0
2,1,1,3,0
2,1,1,4,0
2,1,1,5,0
2,1,2,0,3
2,1,2,1,94
2,1,2,2,43
2,1,2,3,16
2,1,2,4,0
2,1,2,5,0
2,1,3,0,0
2,1,3,1,0
2,1,3,2,0
2,1,3,3,0
2,1,3,4,0
2,1,3,5,0
2,2,0,0,4
2,2,0,1,0
2,2,0,2,5
2,2,0,3,1
2,2,0,4,4
2,2,0,5,0
2,2,1,0,9
2,2,1,1,0
2,2,1,2,10
2,2,1,3,3
2,2,1,4,0
2,2,1,5,2
2,2,2,0,248
2,2,2,1,2
2,2,2,2,10
2,2,2,3,6
2,2,2,4,0
2,2,2,5,0
2,2,3,0,0
2,2,3,1,2
2,2,3,2,0
2,2,3,3,0
2,2,3,4,0
2,2,3,5,0
2,3,0,0,0
2,3,0,1,1
2,3,0,2,2
2,3,0,3,1
2,3,0,4,0
2,3,0,5,2
2,3,1,0,0
2,3,1,1,1
2,3,1,2,0
2,3,1,3,0
2,3,1,4,0
2,3,1,5,1
2,3,2,0,0
2,3,2,1,0
2,3,2,2,0
2,3,2,3,18
2,3,2,4,4
2,3,2,5,0
2,3,3,0,0
2,3,3,1,0
2,3,3,2,0
2,3,3,3,0
2,3,3,4,0
2,3,3,5,0
2,4,0,0,0
2,4,0,1,1
2,4,0,2,0
2,4,0,3,3
2,4,0,4,0
2,4,0,5,0
2,4,1,0,0
2,4,1,1,0
2,4,1,2,0
