家族類型,所有,建て方,面積,世帯数
5,2,3,0,0
5,2,3,1,0
5,2,3,2,0
5,2,3,3,0
5,2,3,4,1
5,2,3,5,0
5,3,0,0,0
5,3,0,1,0
5,3,0,2,0
5,3,0,3,0
5,3,0,4,0
5,3,0,5,0
5,3,1,0,0
5,3,1,1,0
5,3,1,2,0
5,3,1,3,0
5,3,1,4,0
5,3,1,5,0
5,3,2,0,0
5,3,2,1,0
5,3,2,2,1
5,3,2,3,0
5,3,2,4,0
5,3,2,5,0
5,3,3,0,3
5,3,3,1,0
5,3,3,2,0
5,3,3,3,0
5,3,3,4,0
5,3,3,5,0
5,4,0,0,0
5,4,0,1,1
5,4,0,2,0
5,4,0,3,0
5,4,0,4,0
5,4,0,5,0
5,4,1,0,0
5,4,1,1,0
5,4,1,2,0
5,4,1,3,0
5,4,1,4,0
5,4,1,5,0
5,4,2,0,0
5,4,2,1,1
5,4,2,2,0
5,4,2,3,0
5,4,2,4,0
5,4,2,5,0
5,4,3,0,0
5,4,3,1,0
5,4,3,2,0
5,4,3,3,0
5,4,3,4,0
5,4,3,5,0
6,0,0,0,1
6,0,0,1,9
6,0,0,2,0
6,0,0,3,9
6,0,0,4,11
6,0,0,5,0
6,0,1,0,0
6,0,1,1,0
6,0,1,2,0
6,0,1,3,1
6,0,1,4,4
6,0,1,5,0
6,0,2,0,13
6,0,2,1,1
6,0,2,2,3
6,0,2,3,166
6,0,2,4,0
6,0,2,5,7
6,0,3,0,0
6,0,3,1,0
6,0,3,2,3
6,0,3,3,0
6,0,3,4,0
6,0,3,5,0
6,1,0,0,0
6,1,0,1,0
6,1,0,2,0
6,1,0,3,0
6,1,0,4,0
6,1,0,5,0
6,1,1,0,0
6,1,1,1,0
6,1,1,2,0
6,1,1,3,0
6,1,1,4,0
6,1,1,5,0
6,1,2,0,0
6,1,2,1,0
6,1,2,2,0
6,1,2,3,2
6,1,2,4,0
6,1,2,5,0
6,1,3,0,0
6,1,3,1,0
6,1,3,2,0
6,1,3,3,0
6,1,3,4,0
6,1,3,5,0
6,2,0,0,0
6,2,0,1,0
6,2,0,2,0
6,2,0,3,1
6,2,0,4,1
6,2,0,5,0
6,2,1,0,0
6,2,1,1,1
6,2,1,2,0
6,2,1,3,2
6,2,1,4,1
6,2,1,5,1
6,2,2,0,1
6,2,2,1,1
6,2,2,2,1
6,2,2,3,0
6,2,2,4,0
6,2,2,5,0
6,2,3,0,1
6,2,3,1,1
6,2,3,2,0
6,2,3,3,0
6,2,3,4,1
6,2,3,5,0
6,3,0,0,0
6,3,0,1,0
6,3,0,2,0
6,3,0,3,0
6,3,0,4,0
6,3,0,5,0
6,3,1,0,0
6,3,1,1,0
6,3,1,2,0
6,3,1,3,0
6,3,1,4,0
6,3,1,5,0
6,3,2,0,0
6,3,2,1,0
6,3,2,2,0
6,3,2,3,0
6,3,2,4,0
6,3,2,5,0
6,3,3,0,0
6,3,3,1,0
6,3,3,2,0
6,3,3,3,0
6,3,3,4,0
6,3,3,5,0
6,4,0,0,0
6,4,0,1,0
6,4,0,2,0
6,4,0,3,0
6,4,0,4,0
6,4,0,5,0
6,4,1,0,0
6,4,1,1,0
6,4,1,2,0
6,4,1,3,0
6,4,1,4,0
6,4,1,5,0
6,4,2,0,0
6,4,2,1,0
6,4,2,2,0
6,4,2,3,0
6,4,2,4,0
6,4,2,5,0
6,4,3,0,0
6,4,3,1,0
6,4,3,2,0
6,4,3,3,0
6,4,3,4,0
6,4,3,5,0
7,0,0,0,4
7,0,0,1,27
7,0,0,2,14
7,0,0,3,23
7,0,0,4,26
7,0,0,5,52
7,0,1,0,0
7,0,1,1,7
7,0,1,2,6
7,0,1,3,0
7,0,1,4,4
7,0,1,5,0
7,0,2,0,33
7,0,2,1,0
7,0,2,2,86
7,0,2,3,406
7,0,2,4,6
7,0,2,5,5
7,0,3,0,1
7,0,3,1,0
7,0,3,2,2
7,0,3,3,3
7,0,3,4,0
7,0,3,5,0
7,1,0,0,0
7,1,0,1,0
7,1,0,2,0
7,1,0,3,0
7,1,0,4,0
7,1,0,5,0
7,1,1,0,0
7,1,1,1,0
7,1,1,2,0
7,1,1,3,0
7,1,1,4,0
7,1,1,5,0
7,1,2,0,10
7,1,2,1,6
7,1,2,2,9
7,1,2,3,10
7,1,2,4,0
7,1,2,5,0
7,1,3,0,0
7,1,3,1,0
7,1,3,2,0
7,1,3,3,0
7,1,3,4,0
7,1,3,5,0
7,2,0,0,6
7,2,0,1,3
7,2,0,2,2
7,2,0,3,6
7,2,0,4,22
7,2,0,5,3
7,2,1,0,11
7,2,1,1,4
7,2,1,2,0
7,2,1,3,1
7,2,1,4,0
7,2,1,5,0
7,2,2,0,30
7,2,2,1,9
7,2,2,2,4
7,2,2,3,3
7,2,2,4,0
7,2,2,5,4
7,2,3,0,0
7,2,3,1,2
7,2,3,2,0
7,2,3,3,2
7,2,3,4,1
7,2,3,5,0
7,3,0,0,0
7,3,0,1,2
7,3,0,2,0
7,3,0,3,1
7,3,0,4,0
7,3,0,5,0
7,3,1,0,0
7,3,1,1,0
7,3,1,2,0
7,3,1,3,0
7,3,1,4,0
7,3,1,5,0
7,3,2,0,1
7,3,2,1,2
7,3,2,2,0
7,3,2,3,1
7,3,2,4,0
7,3,2,5,1
7,3,3,0,0
7,3,3,1,0
7,3,3,2,0
7,3,3,3,0
7,3,3,4,0
7,3,3,5,0
7,4,0,0,0
7,4,0,1,0
7,4,0,2,0
7,4,0,3,0
7,4,0,4,0
7,4,0,5,0
7,4,1,0,1
7,4,1,1,0
7,4,1,2,0
7,4,1,3,0
7,4,1,4,0
7,4,1,5,0
7,4,2,0,1
7,4,2,1,0
7,4,2,2,0
7,4,2,3,0
7,4,2,4,0
7,4,2,5,0
7,4,3,0,0
7,4,3,1,0
7,4,3,2,0
7,4,3,3,0
7,4,3,4,0
7,4,3,5,0
8,0,0,0,17
8,0,0,1,2
8,0,0,2,356
8,0,0,3,1149
8,0,0,4,1320
8,0,0,5,961
8,0,1,0,3
8,0,1,1,3
8,0,1,2,0
8,0,1,3,18
8,0,1,4,4
8,0,1,5,0
8,0,2,0,65
8,0,2,1,492
8,0,2,2,1583
8,0,2,3,2149
8,0,2,4,13
8,0,2,5,6
8,0,3,0,3
8,0,3,1,1
8,0,3,2,1
8,0,3,3,1
8,0,3,4,4
8,0,3,5,7
8,1,0,0,0
8,1,0,1,0
8,1,0,2,0
8,1,0,3,0
8,1,0,4,0
8,1,0,5,0
8,1,1,0,0
8,1,1,1,0
8,1,1,2,0
8,1,1,3,0
8,1,1,4,0
8,1,1,5,0
8,1,2,0,413
8,1,2,1,1823
8,1,2,2,2335
8,1,2,3,789
8,1,2,4,3
8,1,2,5,0
8,1,3,0,0
8,1,3,1,0
8,1,3,2,0
8,1,3,3,0
8,1,3,4,0
8,1,3,5,0
8,2,0,0,69
8,2,0,1,415
8,2,0,2,277
8,2,0,3,315
8,2,0,4,118
8,2,0,5,6
8,2,1,0,259
8,2,1,1,288
8,2,1,2,76
8,2,1,3,45
8,2,1,4,0
8,2,1,5,0
8,2,2,0,20882
8,2,2,1,18273
8,2,2,2,12794
8,2,2,3,5641
8,2,2,4,337
8,2,2,5,40
8,2,3,0,0
8,2,3,1,0
8,2,3,2,1
8,2,3,3,1
8,2,3,4,2
8,2,3,5,0
8,3,0,0,0
8,3,0,1,0
8,3,0,2,1
8,3,0,3,17
8,3,0,4,0
8,3,0,5,6
8,3,1,0,1
8,3,1,1,1
8,3,1,2,0
8,3,1,3,0
8,3,1,4,1
8,3,1,5,0
8,3,2,0,954
8,3,2,1,711
8,3,2,2,833
8,3,2,3,672
8,3,2,4,18
8,3,2,5,9
8,3,3,0,0
8,3,3,1,4
8,3,3,2,0
8,3,3,3,2
8,3,3,4,1
8,3,3,5,0
8,4,0,0,26
8,4,0,1,41
8,4,0,2,26
8,4,0,3,37
8,4,0,4,0
8,4,0,5,0
8,4,1,0,0
8,4,1,1,1
8,4,1,2,0
8,4,1,3,1
8,4,1,4,0
8,4,1,5,0
8,4,2,0,333
8,4,2,1,162
8,4,2,2,80
8,4,2,3,43
8,4,2,4,0
8,4,2,5,0
8,4,3,0,1
8,4,3,1,1
8,4,3,2,0
8,4,3,3,0
8,4,3,4,0
8,4,3,5,0
9,0,0,0,14
9,0,0,1,4
9,0,0,2,4
9,0,0,3,0
9,0,0,4,33
9,0,0,5,1
9,0,1,0,0
9,0,1,1,0
9,0,1,2,2
9,0,1,3,1
9,0,1,4,0
9,0,1,5,0
9,0,2,0,5
9,0,2,1,0
9,0,2,2,5
9,0,2,3,2
9,0,2,4,11
9,0,2,5,16
9,0,3,0,0
9,0,3,1,4
9,0,3,2,1
9,0,3,3,0
9,0,3,4,0
9,0,3,5,0
9,1,0,0,0
9,1,0,1,0
9,1,0,2,0
9,1,0,3,0
9,1,0,4,0
9,1,0,5,0
9,1,1,0,0
9,1,1,1,0
9,1,1,2,0
9,1,1,3,0
9,1,1,4,0
9,1,1,5,0
9,1,2,0,0
9,1,2,1,17
9,1,2,2,1
9,1,2,3,3
9,1,2,4,1
9,1,2,5,0
9,1,3,0,0
9,1,3,1,0
9,1,3,2,0
9,1,3,3,0
9,1,3,4,0
9,1,3,5,0
9,2,0,0,0
9,2,0,1,1
9,2,0,2,3
9,2,0,3,0
9,2,0,4,0
9,2,0,5,3
9,2,1,0,1
9,2,1,1,0
9,2,1,2,2
9,2,1,3,0
9,2,1,4,4
9,2,1,5,0
9,2,2,0,4
9,2,2,1,0
9,2,2,2,3
9,2,2,3,0
9,2,2,4,1
9,2,2,5,3
9,2,3,0,0
9,2,3,1,4
9,2,3,2,0
9,2,3,3,0
9,2,3,4,0
9,2,3,5,0
9,3,0,0,0
9,3,0,1,0
9,3,0,2,1
9,3,0,3,0
9,3,0,4,0
9,3,0,5,0
9,3,1,0,0
9,3,1,1,0
9,3,1,2,1
9,3,1,3,0
9,3,1,4,0
9,3,1,5,0
9,3,2,0,0
9,3,2,1,0
9,3,2,2,0
9,3,2,3,0
9,3,2,4,0
9,3,2,5,0
9,3,3,0,0
9,3,3,1,0
9,3,3,2,0
9,3,3,3,0
9,3,3,4,0
9,3,3,5,0
9,4,0,0,0
9,4,0,1,0
9,4,0,2,0
9,4,0,3,0
9,4,0,4,0
9,4,0,5,0
9,4,1,0,1
9,4,1,1,0
9,4,1,2,0
9,4,1,3,0
9,4,1,4,0
9,4,1,5,0
9,4,2,0,0
9,4,2,1,1
9,4,2,2,0
9,4,2,3,0
9,4,2,4,0
9,4,2,5,0
9,4,3,0,0
9,4,3,1,0
9,4,3,2,0
9,4,3,3,0
9,4,3,4,0
9,4,3,5,0
