家族類型,所有,建て方,面積,人数
5,1,3,3,0
5,1,3,4,0
5,1,3,5,0
5,2,0,0,5
5,2,0,1,2
5,2,0,2,17
5,2,0,3,12
5,2,0,4,4
5,2,0,5,6
5,2,1,0,1
5,2,1,1,3
5,2,1,2,13
5,2,1,3,2
5,2,1,4,0
5,2,1,5,0
5,2,2,0,49
5,2,2,1,4
5,2,2,2,3
5,2,2,3,33
5,2,2,4,2
5,2,2,5,1
5,2,3,0,1
5,2,3,1,0
5,2,3,2,0
5,2,3,3,1
5,2,3,4,3
5,2,3,5,0
5,3,0,0,0
5,3,0,1,1
5,3,0,2,0
5,3,0,3,0
5,3,0,4,0
5,3,0,5,1
5,3,1,0,0
5,3,1,1,3
5,3,1,2,0
5,3,1,3,1
5,3,1,4,0
5,3,1,5,0
5,3,2,0,0
5,3,2,1,1
5,3,2,2,0
5,3,2,3,0
5,3,2,4,1
5,3,2,5,1
5,3,3,0,0
5,3,3,1,0
5,3,3,2,3
5,3,3,3,0
5,3,3,4,0
5,3,3,5,0
5,4,0,0,0
5,4,0,1,0
5,4,0,2,0
5,4,0,3,2
5,4,0,4,0
5,4,0,5,0
5,4,1,0,1
5,4,1,1,0
5,4,1,2,1
5,4,1,3,0
5,4,1,4,0
5,4,1,5,0
5,4,2,0,0
5,4,2,1,0
5,4,2,2,1
5,4,2,3,0
5,4,2,4,0
5,4,2,5,0
5,4,3,0,1
5,4,3,1,0
5,4,3,2,0
5,4,3,3,0
5,4,3,4,0
5,4,3,5,0
6,0,0,0,2
6,0,0,1,5
6,0,0,2,10
6,0,0,3,68
6,0,0,4,66
6,0,0,5,20
6,0,1,0,2
6,0,1,1,3
6,0,1,2,3
6,0,1,3,1
6,0,1,4,4
6,0,1,5,0
6,0,2,0,0
6,0,2,1,67
6,0,2,2,88
6,0,2,3,985
6,0,2,4,6
6,0,2,5,8
6,0,3,0,1
6,0,3,1,1
6,0,3,2,2
6,0,3,3,1
6,0,3,4,2
6,0,3,5,0
6,1,0,0,0
6,1,0,1,0
6,1,0,2,0
6,1,0,3,0
6,1,0,4,0
6,1,0,5,0
6,1,1,0,0
6,1,1,1,0
6,1,1,2,0
6,1,1,3,0
6,1,1,4,0
6,1,1,5,0
6,1,2,0,2
6,1,2,1,5
6,1,2,2,2
6,1,2,3,2
6,1,2,4,0
6,1,2,5,0
6,1,3,0,0
6,1,3,1,0
6,1,3,2,0
6,1,3,3,0
6,1,3,4,0
6,1,3,5,0
6,2,0,0,2
6,2,0,1,0
6,2,0,2,1
6,2,0,3,5
6,2,0,4,2
6,2,0,5,5
6,2,1,0,24
6,2,1,1,3
6,2,1,2,10
6,2,1,3,2
6,2,1,4,2
6,2,1,5,0
6,2,2,0,7
6,2,2,1,1
6,2,2,2,11
6,2,2,3,0
6,2,2,4,0
6,2,2,5,2
6,2,3,0,1
6,2,3,1,0
6,2,3,2,0
6,2,3,3,1
6,2,3,4,0
6,2,3,5,1
6,3,0,0,0
6,3,0,1,0
6,3,0,2,0
6,3,0,3,0
6,3,0,4,0
6,3,0,5,0
6,3,1,0,0
6,3,1,1,0
6,3,1,2,0
6,3,1,3,0
6,3,1,4,0
6,3,1,5,0
6,3,2,0,0
6,3,2,1,0
6,3,2,2,0
6,3,2,3,0
6,3,2,4,0
6,3,2,5,0
6,3,3,0,0
6,3,3,1,0
6,3,3,2,0
6,3,3,3,0
6,3,3,4,0
6,3,3,5,0
6,4,0,0,0
6,4,0,1,0
6,4,0,2,0
6,4,0,3,0
6,4,0,4,0
6,4,0,5,0
6,4,1,0,0
6,4,1,1,0
6,4,1,2,0
6,4,1,3,0
6,4,1,4,0
6,4,1,5,0
6,4,2,0,0
6,4,2,1,0
6,4,2,2,0
6,4,2,3,0
6,4,2,4,0
6,4,2,5,0
6,4,3,0,0
6,4,3,1,0
6,4,3,2,0
6,4,3,3,0
6,4,3,4,0
6,4,3,5,0
7,0,0,0,2
7,0,0,1,1
7,0,0,2,34
7,0,0,3,20
7,0,0,4,663
7,0,0,5,182
7,0,1,0,4
7,0,1,1,5
7,0,1,2,0
7,0,1,3,3
7,0,1,4,1
7,0,1,5,1
7,0,2,0,2
7,0,2,1,12
7,0,2,2,496
7,0,2,3,1850
7,0,2,4,12
7,0,2,5,17
7,0,3,0,1
7,0,3,1,1
7,0,3,2,5
7,0,3,3,1
7,0,3,4,7
7,0,3,5,3
7,1,0,0,0
7,1,0,1,0
7,1,0,2,0
7,1,0,3,0
7,1,0,4,0
7,1,0,5,0
7,1,1,0,0
7,1,1,1,1
7,1,1,2,0
7,1,1,3,0
7,1,1,4,0
7,1,1,5,0
7,1,2,0,24
7,1,2,1,39
7,1,2,2,2
7,1,2,3,91
7,1,2,4,1
7,1,2,5,3
7,1,3,0,0
7,1,3,1,0
7,1,3,2,0
7,1,3,3,0
7,1,3,4,0
7,1,3,5,0
7,2,0,0,3
7,2,0,1,6
7,2,0,2,9
7,2,0,3,2
7,2,0,4,7
7,2,0,5,4
7,2,1,0,6
7,2,1,1,12
7,2,1,2,9
7,2,1,3,5
7,2,1,4,0
7,2,1,5,1
7,2,2,0,419
7,2,2,1,14
7,2,2,2,4
7,2,2,3,17
7,2,2,4,8
7,2,2,5,1
7,2,3,0,1
7,2,3,1,3
7,2,3,2,0
7,2,3,3,1
7,2,3,4,0
7,2,3,5,0
7,3,0,0,0
7,3,0,1,0
7,3,0,2,0
7,3,0,3,5
7,3,0,4,0
7,3,0,5,1
7,3,1,0,0
7,3,1,1,0
7,3,1,2,1
7,3,1,3,0
7,3,1,4,0
7,3,1,5,0
7,3,2,0,1
7,3,2,1,5
7,3,2,2,2
7,3,2,3,5
7,3,2,4,5
7,3,2,5,2
7,3,3,0,0
7,3,3,1,5
7,3,3,2,3
7,3,3,3,0
7,3,3,4,0
7,3,3,5,1
7,4,0,0,0
7,4,0,1,0
7,4,0,2,0
7,4,0,3,4
7,4,0,4,0
7,4,0,5,0
7,4,1,0,0
7,4,1,1,0
7,4,1,2,0
7,4,1,3,0
7,4,1,4,0
7,4,1,5,0
7,4,2,0,1
7,4,2,1,1
7,4,2,2,0
7,4,2,3,0
7,4,2,4,0
7,4,2,5,0
7,4,3,0,1
7,4,3,1,1
7,4,3,2,0
7,4,3,3,0
7,4,3,4,0
7,4,3,5,0
8,0,0,0,5
8,0,0,1,12
8,0,0,2,21
8,0,0,3,738
8,0,0,4,1785
8,0,0,5,1093
8,0,1,0,0
8,0,1,1,4
8,0,1,2,8
8,0,1,3,23
8,0,1,4,9
8,0,1,5,2
8,0,2,0,4
8,0,2,1,26
8,0,2,2,1840
8,0,2,3,2546
8,0,2,4,8
8,0,2,5,17
8,0,3,0,2
8,0,3,1,1
8,0,3,2,7
8,0,3,3,7
8,0,3,4,0
8,0,3,5,0
8,1,0,0,0
8,1,0,1,0
8,1,0,2,0
8,1,0,3,0
8,1,0,4,0
8,1,0,5,0
8,1,1,0,0
8,1,1,1,0
8,1,1,2,1
8,1,1,3,0
8,1,1,4,0
8,1,1,5,0
8,1,2,0,19
8,1,2,1,1614
8,1,2,2,3058
8,1,2,3,666
8,1,2,4,3
8,1,2,5,2
8,1,3,0,0
8,1,3,1,0
8,1,3,2,0
8,1,3,3,0
8,1,3,4,0
8,1,3,5,0
8,2,0,0,55
8,2,0,1,760
8,2,0,2,691
8,2,0,3,782
8,2,0,4,457
8,2,0,5,34
8,2,1,0,355
8,2,1,1,482
8,2,1,2,265
8,2,1,3,94
8,2,1,4,1
8,2,1,5,0
8,2,2,0,16509
8,2,2,1,15342
8,2,2,2,13948
8,2,2,3,9344
8,2,2,4,582
8,2,2,5,99
8,2,3,0,2
8,2,3,1,34
8,2,3,2,2
8,2,3,3,0
8,2,3,4,0
8,2,3,5,1
8,3,0,0,2
8,3,0,1,11
8,3,0,2,11
8,3,0,3,17
8,3,0,4,19
8,3,0,5,8
8,3,1,0,0
8,3,1,1,0
8,3,1,2,1
8,3,1,3,3
8,3,1,4,1
8,3,1,5,1
8,3,2,0,602
8,3,2,1,876
8,3,2,2,797
8,3,2,3,846
8,3,2,4,23
8,3,2,5,0
8,3,3,0,0
8,3,3,1,3
8,3,3,2,1
8,3,3,3,7
8,3,3,4,1
8,3,3,5,1
8,4,0,0,58
8,4,0,1,39
8,4,0,2,62
8,4,0,3,69
8,4,0,4,0
8,4,0,5,0
8,4,1,0,2
8,4,1,1,2
8,4,1,2,0
8,4,1,3,0
8,4,1,4,0
8,4,1,5,0
8,4,2,0,142
8,4,2,1,192
8,4,2,2,81
8,4,2,3,102
8,4,2,4,0
8,4,2,5,0
8,4,3,0,2
8,4,3,1,0
8,4,3,2,1
8,4,3,3,0
8,4,3,4,0
8,4,3,5,0
9,0,0,0,9
9,0,0,1,40
9,0,0,2,1
9,0,0,3,2
9,0,0,4,28
9,0,0,5,8
9,0,1,0,0
9,0,1,1,1
9,0,1,2,21
9,0,1,3,9
9,0,1,4,0
9,0,1,5,0
9,0,2,0,6
9,0,2,1,5
9,0,2,2,6
9,0,2,3,153
9,0,2,4,9
9,0,2,5,10
9,0,3,0,0
9,0,3,1,1
9,0,3,2,9
9,0,3,3,4
9,0,3,4,1
9,0,3,5,7
9,1,0,0,0
9,1,0,1,0
9,1,0,2,0
9,1,0,3,0
9,1,0,4,0
9,1,0,5,0
9,1,1,0,0
9,1,1,1,0
9,1,1,2,0
9,1,1,3,0
9,1,1,4,0
9,1,1,5,0
9,1,2,0,31
9,1,2,1,34
9,1,2,2,3
9,1,2,3,0
9,1,2,4,0
9,1,2,5,0
9,1,3,0,0
9,1,3,1,0
9,1,3,2,0
9,1,3,3,0
9,1,3,4,0
9,1,3,5,0
9,2,0,0,11
9,2,0,1,2
9,2,0,2,2
9,2,0,3,11
9,2,0,4,2
9,2,0,5,1
9,2,1,0,6
9,2,1,1,4
9,2,1,2,0
9,2,1,3,3
9,2,1,4,0
9,2,1,5,1
9,2,2,0,1
9,2,2,1,7
9,2,2,2,23
9,2,2,3,0
9,2,2,4,2
9,2,2,5,12
9,2,3,0,0
9,2,3,1,4
9,2,3,2,1
9,2,3,3,0
9,2,3,4,1
9,2,3,5,0
9,3,0,0,0
9,3,0,1,0
9,3,0,2,0
9,3,0,3,0
9,3,0,4,1
9,3,0,5,1
9,3,1,0,0
9,3,1,1,0
9,3,1,2,0
9,3,1,3,0
9,3,1,4,0
9,3,1,5,0
9,3,2,0,0
9,3,2,1,1
9,3,2,2,0
9,3,2,3,0
9,3,2,4,0
9,3,2,5,0
9,3,3,0,0
9,3,3,1,1
9,3,3,2,1
9,3,3,3,1
9,3,3,4,0
9,3,3,5,0
9,4,0,0,1
9,4,0,1,0
9,4,0,2,0
9,4,0,3,0
9,4,0,4,0
9,4,0,5,0
9,4,1,0,2
9,4,1,1,1
9,4,1,2,0
9,4,1,3,0
9,4,1,4,0
9,4,1,5,0
9,4,2,0,0
9,4,2,1,0
9,4,2,2,0
9,4,2,3,2
9,4,2,4,0
9,4,2,5,0
9,4,3,0,0
9,4,3,1,0
9,4,3,2,1
9,4,3,3,0
9,4,3,4,0
9,4,3,5,0
