Town,BuildingType,TotalHouseholds,TotalPopulation
奈良屋町,その他,2,4
神屋町,一戸建,65,160
神屋町,長屋建,0,0
神屋町,共同住宅,1349,1644
神屋町,その他,3,6
須崎町,一戸建,73,156
須崎町,長屋建,2,7
須崎町,共同住宅,608,766
須崎町,その他,2,7
綱場町,一戸建,20,52
綱場町,長屋建,1,2
綱場町,共同住宅,444,499
綱場町,その他,5,9
石城町,一戸建,21,52
石城町,長屋建,3,6
石城町,共同住宅,769,974
石城町,その他,1,1
上呉服町,一戸建,161,361
上呉服町,長屋建,3,7
上呉服町,共同住宅,561,785
上呉服町,その他,2,8
中呉服町,一戸建,29,67
中呉服町,長屋建,1,1
中呉服町,共同住宅,865,971
中呉服町,その他,2,3
下呉服町,一戸建,93,222
下呉服町,長屋建,12,23
下呉服町,共同住宅,1116,1436
下呉服町,その他,1,1
大博町,一戸建,84,210
大博町,長屋建,3,6
大博町,共同住宅,825,1155
大博町,その他,6,12
御供所町,一戸建,85,211
御供所町,長屋建,16,31
御供所町,共同住宅,573,727
御供所町,その他,4,10
千代１丁目,一戸建,193,417
千代１丁目,長屋建,19,22
千代１丁目,共同住宅,1821,2570
千代１丁目,その他,1,1
千代２丁目,一戸建,59,115
千代２丁目,長屋建,16,28
千代２丁目,共同住宅,983,1163
千代２丁目,その他,4,11
千代３丁目,一戸建,40,87
千代３丁目,長屋建,11,15
千代３丁目,共同住宅,1397,2100
千代３丁目,その他,0,0
千代４丁目,一戸建,178,358
千代４丁目,長屋建,33,43
千代４丁目,共同住宅,1307,1400
千代４丁目,その他,4,6
千代５丁目,一戸建,15,42
千代５丁目,長屋建,1,1
千代５丁目,共同住宅,975,1543
千代５丁目,その他,0,0
千代６丁目,一戸建,0,0
千代６丁目,長屋建,0,0
千代６丁目,共同住宅,565,688
千代６丁目,その他,1,1
東公園,一戸建,42,99
東公園,長屋建,1,2
東公園,共同住宅,188,198
東公園,その他,1,1
吉塚本町,一戸建,46,119
吉塚本町,長屋建,1,1
吉塚本町,共同住宅,707,1158
吉塚本町,その他,3,4
吉塚１丁目,一戸建,268,646
吉塚１丁目,長屋建,52,119
吉塚１丁目,共同住宅,1324,1888
吉塚１丁目,その他,7,13
吉塚２丁目,一戸建,187,460
吉塚２丁目,長屋建,7,18
吉塚２丁目,共同住宅,1008,1645
吉塚２丁目,その他,2,3
吉塚３丁目,一戸建,195,456
吉塚３丁目,長屋建,35,71
吉塚３丁目,共同住宅,741,1148
