Town,OwnershipType,TotalHouseholds,TotalPopulation
三筑１丁目,持ち家,208,588
三筑１丁目,公営・都市再生機構・公社の借家,0,0
三筑１丁目,民営の借家,176,437
三筑１丁目,給与住宅,19,50
三筑１丁目,間借り,1,2
三筑２丁目,持ち家,259,714
三筑２丁目,公営・都市再生機構・公社の借家,0,0
三筑２丁目,民営の借家,613,1131
三筑２丁目,給与住宅,20,42
三筑２丁目,間借り,10,25
相生町１丁目,持ち家,189,501
相生町１丁目,公営・都市再生機構・公社の借家,0,0
相生町１丁目,民営の借家,3,6
相生町１丁目,給与住宅,5,15
相生町１丁目,間借り,1,2
相生町２丁目,持ち家,101,237
相生町２丁目,公営・都市再生機構・公社の借家,0,0
相生町２丁目,民営の借家,214,251
相生町２丁目,給与住宅,24,69
相生町２丁目,間借り,1,1
相生町３丁目,持ち家,69,186
相生町３丁目,公営・都市再生機構・公社の借家,0,0
相生町３丁目,民営の借家,333,589
相生町３丁目,給与住宅,13,33
相生町３丁目,間借り,3,5
銀天町１丁目,持ち家,83,208
銀天町１丁目,公営・都市再生機構・公社の借家,0,0
銀天町１丁目,民営の借家,45,59
銀天町１丁目,給与住宅,3,9
銀天町１丁目,間借り,0,0
銀天町２丁目,持ち家,65,138
銀天町２丁目,公営・都市再生機構・公社の借家,0,0
銀天町２丁目,民営の借家,84,93
銀天町２丁目,給与住宅,7,7
銀天町２丁目,間借り,2,3
銀天町３丁目,持ち家,17,42
銀天町３丁目,公営・都市再生機構・公社の借家,46,61
銀天町３丁目,民営の借家,148,178
銀天町３丁目,給与住宅,4,6
銀天町３丁目,間借り,2,3
寿町１丁目,持ち家,0,0
寿町１丁目,公営・都市再生機構・公社の借家,0,0
寿町１丁目,民営の借家,0,0
寿町１丁目,給与住宅,41,102
寿町１丁目,間借り,0,0
寿町２丁目,持ち家,176,351
寿町２丁目,公営・都市再生機構・公社の借家,0,0
寿町２丁目,民営の借家,391,507
寿町２丁目,給与住宅,14,23
寿町２丁目,間借り,1,1
寿町３丁目,持ち家,200,477
寿町３丁目,公営・都市再生機構・公社の借家,0,0
寿町３丁目,民営の借家,217,268
寿町３丁目,給与住宅,17,23
寿町３丁目,間借り,1,1
昭南町１丁目,持ち家,96,212
昭南町１丁目,公営・都市再生機構・公社の借家,0,0
昭南町１丁目,民営の借家,156,201
昭南町１丁目,給与住宅,4,8
昭南町１丁目,間借り,4,5
昭南町２丁目,持ち家,28,61
昭南町２丁目,公営・都市再生機構・公社の借家,0,0
昭南町２丁目,民営の借家,103,132
昭南町２丁目,給与住宅,1,1
昭南町２丁目,間借り,0,0
昭南町３丁目,持ち家,52,133
昭南町３丁目,公営・都市再生機構・公社の借家,0,0
昭南町３丁目,民営の借家,120,149
昭南町３丁目,給与住宅,0,0
昭南町３丁目,間借り,1,2
新和町１丁目,持ち家,89,228
新和町１丁目,公営・都市再生機構・公社の借家,146,283
新和町１丁目,民営の借家,15,25
新和町１丁目,給与住宅,7,19
新和町１丁目,間借り,2,3
新和町２丁目,持ち家,149,399
新和町２丁目,公営・都市再生機構・公社の借家,0,0
新和町２丁目,民営の借家,200,316
新和町２丁目,給与住宅,6,12
新和町２丁目,間借り,4,4
西春町１丁目,持ち家,64,186
西春町１丁目,公営・都市再生機構・公社の借家,73,119
西春町１丁目,民営の借家,168,267
西春町１丁目,給与住宅,15,32
西春町１丁目,間借り,2,8
西春町２丁目,持ち家,21,54
西春町２丁目,公営・都市再生機構・公社の借家,0,0
西春町２丁目,民営の借家,42,56
西春町２丁目,給与住宅,4,6
西春町２丁目,間借り,0,0
西春町３丁目,持ち家,49,123
西春町３丁目,公営・都市再生機構・公社の借家,0,0
西春町３丁目,民営の借家,181,302
西春町３丁目,給与住宅,7,12
西春町３丁目,間借り,1,1
西春町４丁目,持ち家,47,132
西春町４丁目,公営・都市再生機構・公社の借家,0,0
西春町４丁目,民営の借家,61,104
西春町４丁目,給与住宅,1,4
西春町４丁目,間借り,1,1
春町１丁目,持ち家,45,116
春町１丁目,公営・都市再生機構・公社の借家,0,0
春町１丁目,民営の借家,186,226
春町１丁目,給与住宅,14,14
春町１丁目,間借り,1,4
春町２丁目,持ち家,102,242
春町２丁目,公営・都市再生機構・公社の借家,0,0
春町２丁目,民営の借家,224,373
春町２丁目,給与住宅,10,24
春町２丁目,間借り,1,2
春町３丁目,持ち家,64,156
春町３丁目,公営・都市再生機構・公社の借家,0,0
春町３丁目,民営の借家,162,235
春町３丁目,給与住宅,8,14
春町３丁目,間借り,1,1
東雲町１丁目,持ち家,15,31
東雲町１丁目,公営・都市再生機構・公社の借家,0,0
東雲町１丁目,民営の借家,98,103
東雲町１丁目,給与住宅,2,2
東雲町１丁目,間借り,1,2
東雲町２丁目,持ち家,69,169
東雲町２丁目,公営・都市再生機構・公社の借家,0,0
東雲町２丁目,民営の借家,186,326
東雲町２丁目,給与住宅,8,15
東雲町２丁目,間借り,3,6
東雲町３丁目,持ち家,74,190
東雲町３丁目,公営・都市再生機構・公社の借家,0,0
東雲町３丁目,民営の借家,85,123
東雲町３丁目,給与住宅,4,8
東雲町３丁目,間借り,3,6
東雲町４丁目,持ち家,13,36
東雲町４丁目,公営・都市再生機構・公社の借家,0,0
東雲町４丁目,民営の借家,115,156
東雲町４丁目,給与住宅,11,21
東雲町４丁目,間借り,1,4
光丘町１丁目,持ち家,64,165
光丘町１丁目,公営・都市再生機構・公社の借家,0,0
光丘町１丁目,民営の借家,275,475
光丘町１丁目,給与住宅,11,24
光丘町１丁目,間借り,2,2
光丘町２丁目,持ち家,79,226
光丘町２丁目,公営・都市再生機構・公社の借家,0,0
光丘町２丁目,民営の借家,72,97
光丘町２丁目,給与住宅,3,6
光丘町２丁目,間借り,0,0
光丘町３丁目,持ち家,45,116
光丘町３丁目,公営・都市再生機構・公社の借家,0,0
光丘町３丁目,民営の借家,81,135
光丘町３丁目,給与住宅,8,25
光丘町３丁目,間借り,2,4
南本町１丁目,持ち家,49,112
南本町１丁目,公営・都市再生機構・公社の借家,0,0
南本町１丁目,民営の借家,88,105
南本町１丁目,給与住宅,0,0
南本町１丁目,間借り,0,0
南本町２丁目,持ち家,52,108
南本町２丁目,公営・都市再生機構・公社の借家,101,172
南本町２丁目,民営の借家,62,102
南本町２丁目,給与住宅,2,3
南本町２丁目,間借り,0,0
南八幡町１丁目,持ち家,134,378
南八幡町１丁目,公営・都市再生機構・公社の借家,0,0
南八幡町１丁目,民営の借家,226,287
南八幡町１丁目,給与住宅,3,8
南八幡町１丁目,間借り,8,12
南八幡町２丁目,持ち家,221,632
南八幡町２丁目,公営・都市再生機構・公社の借家,0,0
南八幡町２丁目,民営の借家,278,456
南八幡町２丁目,給与住宅,11,39
南八幡町２丁目,間借り,7,13
竹丘町１丁目,持ち家,81,179
竹丘町１丁目,公営・都市再生機構・公社の借家,0,0
竹丘町１丁目,民営の借家,92,143
竹丘町１丁目,給与住宅,8,15
竹丘町１丁目,間借り,1,1
竹丘町２丁目,持ち家,70,146
竹丘町２丁目,公営・都市再生機構・公社の借家,0,0
竹丘町２丁目,民営の借家,227,327
竹丘町２丁目,給与住宅,13,26
竹丘町２丁目,間借り,1,1
竹丘町３丁目,持ち家,0,0
竹丘町３丁目,公営・都市再生機構・公社の借家,114,162
竹丘町３丁目,民営の借家,0,0
竹丘町３丁目,給与住宅,0,0
竹丘町３丁目,間借り,0,0
元町１丁目,持ち家,79,156
元町１丁目,公営・都市再生機構・公社の借家,0,0
元町１丁目,民営の借家,116,167
元町１丁目,給与住宅,13,24
元町１丁目,間借り,1,1
元町２丁目,持ち家,419,895
元町２丁目,公営・都市再生機構・公社の借家,0,0
元町２丁目,民営の借家,289,425
元町２丁目,給与住宅,110,349
元町２丁目,間借り,3,6
元町３丁目,持ち家,22,57
元町３丁目,公営・都市再生機構・公社の借家,0,0
元町３丁目,民営の借家,2,7
元町３丁目,給与住宅,64,239
元町３丁目,間借り,1,4
青木１丁目,持ち家,454,1161
青木１丁目,公営・都市再生機構・公社の借家,0,0
青木１丁目,民営の借家,188,349
青木１丁目,給与住宅,28,81
青木１丁目,間借り,8,24
青木２丁目,持ち家,6,21
青木２丁目,公営・都市再生機構・公社の借家,0,0
青木２丁目,民営の借家,0,0
青木２丁目,給与住宅,0,0
青木２丁目,間借り,0,0
空港前１丁目,持ち家,3,13
空港前１丁目,公営・都市再生機構・公社の借家,0,0
空港前１丁目,民営の借家,15,15
空港前１丁目,給与住宅,0,0
空港前１丁目,間借り,0,0
空港前２丁目,持ち家,106,316
空港前２丁目,公営・都市再生機構・公社の借家,0,0
空港前２丁目,民営の借家,328,485
空港前２丁目,給与住宅,26,43
空港前２丁目,間借り,2,6
空港前３丁目,持ち家,162,460
空港前３丁目,公営・都市再生機構・公社の借家,0,0
空港前３丁目,民営の借家,349,451
空港前３丁目,給与住宅,61,72
空港前３丁目,間借り,6,7
空港前４丁目,持ち家,40,137
空港前４丁目,公営・都市再生機構・公社の借家,0,0
空港前４丁目,民営の借家,14,25
空港前４丁目,給与住宅,7,8
空港前４丁目,間借り,2,7
空港前５丁目,持ち家,77,217
空港前５丁目,公営・都市再生機構・公社の借家,20,41
空港前５丁目,民営の借家,35,95
空港前５丁目,給与住宅,3,12
空港前５丁目,間借り,2,3
東平尾１丁目,持ち家,24,62
東平尾１丁目,公営・都市再生機構・公社の借家,0,0
東平尾１丁目,民営の借家,300,620
東平尾１丁目,給与住宅,37,106
東平尾１丁目,間借り,5,9
東平尾２丁目,持ち家,102,275
東平尾２丁目,公営・都市再生機構・公社の借家,0,0
東平尾２丁目,民営の借家,206,455
東平尾２丁目,給与住宅,21,49
東平尾２丁目,間借り,4,8
東平尾３丁目,持ち家,0,0
東平尾３丁目,公営・都市再生機構・公社の借家,0,0
東平尾３丁目,民営の借家,0,0
東平尾３丁目,給与住宅,0,0
東平尾３丁目,間借り,0,0
東平尾公園１丁目,持ち家,0,0
東平尾公園１丁目,公営・都市再生機構・公社の借家,0,0
東平尾公園１丁目,民営の借家,0,0
東平尾公園１丁目,給与住宅,0,0
東平尾公園１丁目,間借り,0,0
東平尾公園２丁目,持ち家,0,0
東平尾公園２丁目,公営・都市再生機構・公社の借家,0,0
東平尾公園２丁目,民営の借家,0,0
東平尾公園２丁目,給与住宅,0,0
東平尾公園２丁目,間借り,0,0
月隈１丁目,持ち家,33,106
月隈１丁目,公営・都市再生機構・公社の借家,0,0
月隈１丁目,民営の借家,47,114
月隈１丁目,給与住宅,0,0
月隈１丁目,間借り,5,16
月隈２丁目,持ち家,129,410
月隈２丁目,公営・都市再生機構・公社の借家,0,0
月隈２丁目,民営の借家,111,268
月隈２丁目,給与住宅,10,21
月隈２丁目,間借り,4,5
月隈３丁目,持ち家,53,161
月隈３丁目,公営・都市再生機構・公社の借家,13,27
月隈３丁目,民営の借家,46,90
月隈３丁目,給与住宅,4,5
月隈３丁目,間借り,4,12
月隈４丁目,持ち家,0,0
月隈４丁目,公営・都市再生機構・公社の借家,0,0
月隈４丁目,民営の借家,0,0
月隈４丁目,給与住宅,0,0
月隈４丁目,間借り,0,0
月隈５丁目,持ち家,0,0
月隈５丁目,公営・都市再生機構・公社の借家,0,0
月隈５丁目,民営の借家,0,0
月隈５丁目,給与住宅,0,0
月隈５丁目,間借り,0,0
月隈６丁目,持ち家,28,91
月隈６丁目,公営・都市再生機構・公社の借家,0,0
月隈６丁目,民営の借家,205,401
月隈６丁目,給与住宅,5,14
月隈６丁目,間借り,6,16
立花寺,持ち家,84,220
立花寺,公営・都市再生機構・公社の借家,0,0
立花寺,民営の借家,110,193
立花寺,給与住宅,3,9
立花寺,間借り,3,5
金の隈１丁目,持ち家,355,900
金の隈１丁目,公営・都市再生機構・公社の借家,0,0
金の隈１丁目,民営の借家,229,452
金の隈１丁目,給与住宅,55,156
金の隈１丁目,間借り,8,23
金の隈２丁目,持ち家,184,502
金の隈２丁目,公営・都市再生機構・公社の借家,0,0
金の隈２丁目,民営の借家,109,201
金の隈２丁目,給与住宅,4,6
金の隈２丁目,間借り,5,10
金の隈３丁目,持ち家,238,634
金の隈３丁目,公営・都市再生機構・公社の借家,0,0
金の隈３丁目,民営の借家,309,466
金の隈３丁目,給与住宅,16,32
金の隈３丁目,間借り,6,16
博多港,持ち家,0,0
博多港,公営・都市再生機構・公社の借家,0,0
博多港,民営の借家,0,0
博多港,給与住宅,0,0
博多港,間借り,0,0
