Town,OwnershipType,TotalHouseholds,TotalPopulation
下川端町,公営・都市再生機構・公社の借家,0,0
下川端町,民営の借家,53,72
下川端町,給与住宅,10,18
下川端町,間借り,1,1
店屋町,持ち家,77,157
店屋町,公営・都市再生機構・公社の借家,49,67
店屋町,民営の借家,338,405
店屋町,給与住宅,25,32
店屋町,間借り,5,5
冷泉町,持ち家,277,502
冷泉町,公営・都市再生機構・公社の借家,0,0
冷泉町,民営の借家,800,910
冷泉町,給与住宅,35,50
冷泉町,間借り,19,24
祇園町,持ち家,145,272
祇園町,公営・都市再生機構・公社の借家,56,70
祇園町,民営の借家,625,765
祇園町,給与住宅,29,38
祇園町,間借り,6,9
中洲１丁目,持ち家,2,4
中洲１丁目,公営・都市再生機構・公社の借家,0,0
中洲１丁目,民営の借家,1,1
中洲１丁目,給与住宅,0,0
中洲１丁目,間借り,0,0
中洲２丁目,持ち家,13,25
中洲２丁目,公営・都市再生機構・公社の借家,0,0
中洲２丁目,民営の借家,52,52
中洲２丁目,給与住宅,0,0
中洲２丁目,間借り,0,0
中洲３丁目,持ち家,9,16
中洲３丁目,公営・都市再生機構・公社の借家,0,0
中洲３丁目,民営の借家,0,0
中洲３丁目,給与住宅,0,0
中洲３丁目,間借り,0,0
中洲４丁目,持ち家,6,16
中洲４丁目,公営・都市再生機構・公社の借家,0,0
中洲４丁目,民営の借家,3,7
中洲４丁目,給与住宅,1,2
中洲４丁目,間借り,0,0
中洲５丁目,持ち家,5,12
中洲５丁目,公営・都市再生機構・公社の借家,0,0
中洲５丁目,民営の借家,517,540
中洲５丁目,給与住宅,5,6
中洲５丁目,間借り,2,2
中洲中島町,持ち家,2,2
中洲中島町,公営・都市再生機構・公社の借家,0,0
中洲中島町,民営の借家,315,392
中洲中島町,給与住宅,12,21
中洲中島町,間借り,1,1
古門戸町,持ち家,133,282
古門戸町,公営・都市再生機構・公社の借家,0,0
古門戸町,民営の借家,448,564
古門戸町,給与住宅,59,73
古門戸町,間借り,10,23
対馬小路,持ち家,212,484
対馬小路,公営・都市再生機構・公社の借家,61,155
対馬小路,民営の借家,617,758
対馬小路,給与住宅,24,39
対馬小路,間借り,2,7
築港本町,持ち家,207,428
築港本町,公営・都市再生機構・公社の借家,79,117
築港本町,民営の借家,1074,1208
築港本町,給与住宅,29,37
築港本町,間借り,8,10
奈良屋町,持ち家,290,680
奈良屋町,公営・都市再生機構・公社の借家,0,0
奈良屋町,民営の借家,500,671
奈良屋町,給与住宅,34,44
奈良屋町,間借り,11,20
神屋町,持ち家,102,231
神屋町,公営・都市再生機構・公社の借家,0,0
神屋町,民営の借家,1264,1507
神屋町,給与住宅,51,72
神屋町,間借り,8,9
須崎町,持ち家,110,256
須崎町,公営・都市再生機構・公社の借家,0,0
須崎町,民営の借家,550,645
須崎町,給与住宅,25,35
須崎町,間借り,17,19
綱場町,持ち家,29,68
綱場町,公営・都市再生機構・公社の借家,43,63
綱場町,民営の借家,376,405
綱場町,給与住宅,22,26
綱場町,間借り,2,2
石城町,持ち家,161,297
石城町,公営・都市再生機構・公社の借家,0,0
石城町,民営の借家,611,686
石城町,給与住宅,22,50
石城町,間借り,2,3
上呉服町,持ち家,240,605
上呉服町,公営・都市再生機構・公社の借家,8,18
上呉服町,民営の借家,443,489
上呉服町,給与住宅,36,49
上呉服町,間借り,7,17
中呉服町,持ち家,78,154
中呉服町,公営・都市再生機構・公社の借家,0,0
中呉服町,民営の借家,772,825
中呉服町,給与住宅,47,63
中呉服町,間借り,7,7
下呉服町,持ち家,186,434
下呉服町,公営・都市再生機構・公社の借家,65,129
下呉服町,民営の借家,959,1105
下呉服町,給与住宅,12,14
下呉服町,間借り,11,18
大博町,持ち家,149,321
大博町,公営・都市再生機構・公社の借家,61,145
大博町,民営の借家,689,896
大博町,給与住宅,19,21
大博町,間借り,13,21
御供所町,持ち家,112,248
御供所町,公営・都市再生機構・公社の借家,0,0
御供所町,民営の借家,532,678
御供所町,給与住宅,34,53
御供所町,間借り,10,14
千代１丁目,持ち家,349,733
千代１丁目,公営・都市再生機構・公社の借家,488,877
千代１丁目,民営の借家,1163,1341
千代１丁目,給与住宅,34,59
千代１丁目,間借り,25,28
千代２丁目,持ち家,58,118
千代２丁目,公営・都市再生機構・公社の借家,199,318
千代２丁目,民営の借家,786,860
千代２丁目,給与住宅,20,22
千代２丁目,間借り,13,16
千代３丁目,持ち家,34,79
千代３丁目,公営・都市再生機構・公社の借家,928,1596
千代３丁目,民営の借家,482,522
千代３丁目,給与住宅,4,5
千代３丁目,間借り,4,7
千代４丁目,持ち家,183,343
千代４丁目,公営・都市再生機構・公社の借家,0,0
千代４丁目,民営の借家,1246,1367
千代４丁目,給与住宅,93,97
千代４丁目,間借り,30,34
千代５丁目,持ち家,218,376
千代５丁目,公営・都市再生機構・公社の借家,406,729
千代５丁目,民営の借家,297,411
千代５丁目,給与住宅,72,73
千代５丁目,間借り,2,4
千代６丁目,持ち家,1,1
千代６丁目,公営・都市再生機構・公社の借家,153,272
千代６丁目,民営の借家,410,414
千代６丁目,給与住宅,2,2
千代６丁目,間借り,1,1
東公園,持ち家,40,90
東公園,公営・都市再生機構・公社の借家,0,0
東公園,民営の借家,187,199
東公園,給与住宅,5,11
東公園,間借り,2,2
吉塚本町,持ち家,261,586
吉塚本町,公営・都市再生機構・公社の借家,115,195
吉塚本町,民営の借家,362,467
吉塚本町,給与住宅,19,34
吉塚本町,間借り,7,13
吉塚１丁目,持ち家,345,868
吉塚１丁目,公営・都市再生機構・公社の借家,132,288
吉塚１丁目,民営の借家,1157,1480
吉塚１丁目,給与住宅,17,30
吉塚１丁目,間借り,35,48
吉塚２丁目,持ち家,409,1016
吉塚２丁目,公営・都市再生機構・公社の借家,0,0
吉塚２丁目,民営の借家,773,1076
吉塚２丁目,給与住宅,22,34
吉塚２丁目,間借り,7,15
吉塚３丁目,持ち家,212,502
吉塚３丁目,公営・都市再生機構・公社の借家,0,0
吉塚３丁目,民営の借家,734,1139
吉塚３丁目,給与住宅,27,39
吉塚３丁目,間借り,22,38
吉塚４丁目,持ち家,565,1359
吉塚４丁目,公営・都市再生機構・公社の借家,110,237
吉塚４丁目,民営の借家,672,1181
吉塚４丁目,給与住宅,46,74
吉塚４丁目,間借り,16,32
吉塚５丁目,持ち家,401,1002
吉塚５丁目,公営・都市再生機構・公社の借家,4,4
吉塚５丁目,民営の借家,472,784
吉塚５丁目,給与住宅,15,29
吉塚５丁目,間借り,10,16
吉塚６丁目,持ち家,290,797
吉塚６丁目,公営・都市再生機構・公社の借家,377,684
吉塚６丁目,民営の借家,861,1103
吉塚６丁目,給与住宅,38,79
吉塚６丁目,間借り,19,24
吉塚７丁目,持ち家,140,308
吉塚７丁目,公営・都市再生機構・公社の借家,302,600
吉塚７丁目,民営の借家,572,900
吉塚７丁目,給与住宅,70,135
吉塚７丁目,間借り,4,12
吉塚８丁目,持ち家,34,97
吉塚８丁目,公営・都市再生機構・公社の借家,94,214
吉塚８丁目,民営の借家,139,168
吉塚８丁目,給与住宅,7,10
吉塚８丁目,間借り,6,12
豊１丁目,持ち家,119,279
豊１丁目,公営・都市再生機構・公社の借家,0,0
豊１丁目,民営の借家,563,725
豊１丁目,給与住宅,41,53
豊１丁目,間借り,2,6
豊２丁目,持ち家,93,211
豊２丁目,公営・都市再生機構・公社の借家,0,0
豊２丁目,民営の借家,321,426
豊２丁目,給与住宅,16,21
豊２丁目,間借り,3,6
榎田１丁目,持ち家,5,12
