Town,FamilyType,TotalHouseholds,total_pop,NonResSum,NonResSumPopulation,IsSingleOnly,NonResHouseholds_Init,NonResHouseholds_Adjusted,NonResHouseholds,Discrepancy
中洲中島町,非親族を含む世帯,6,14,0,0,True,0.0,-0.0,0.0,0.0
中洲中島町,単独世帯,269,269,0,0,True,0.0,0.0,0.0,0.0
中洲１丁目,夫婦のみの世帯,0,0,1,1,True,0.0,-0.0,0.12080890746581807,0.0
中洲１丁目,夫婦と子供から成る世帯,0,0,1,1,True,0.0,-0.0,0.12080890746581807,0.0
中洲１丁目,その他の核家族世帯,1,3,1,1,True,0.0,-0.0,0.12080890746581807,0.0
中洲１丁目,核家族以外の世帯,0,0,1,1,True,0.0,-0.0,0.12080890746581807,0.0
中洲１丁目,非親族を含む世帯,0,0,1,1,True,0.0,-0.0,0.12080890746581807,0.0
中洲１丁目,単独世帯,3,3,1,1,True,1.0,0.12080890746581797,1.2416178149316361,0.0
中洲２丁目,夫婦のみの世帯,1,2,0,0,True,0.0,-0.0,0.0,0.0
中洲２丁目,夫婦と子供から成る世帯,2,9,0,0,True,0.0,-0.0,0.0,0.0
中洲２丁目,その他の核家族世帯,1,2,0,0,True,0.0,-0.0,0.0,0.0
中洲２丁目,核家族以外の世帯,1,4,0,0,True,0.0,-0.0,0.0,0.0
中洲２丁目,非親族を含む世帯,0,0,0,0,True,0.0,-0.0,0.0,0.0
中洲２丁目,単独世帯,60,60,0,0,True,0.0,0.0,0.0,0.0
中洲３丁目,夫婦のみの世帯,2,4,0,0,True,0.0,-0.0,0.0,0.0
中洲３丁目,夫婦と子供から成る世帯,1,3,0,0,True,0.0,-0.0,0.0,0.0
中洲３丁目,その他の核家族世帯,2,4,0,0,True,0.0,-0.0,0.0,0.0
中洲３丁目,核家族以外の世帯,1,2,0,0,True,0.0,-0.0,0.0,0.0
中洲３丁目,非親族を含む世帯,0,0,0,0,True,0.0,-0.0,0.0,0.0
中洲３丁目,単独世帯,3,3,0,0,True,0.0,0.0,0.0,0.0
中洲４丁目,夫婦のみの世帯,1,2,1,1,True,0.0,-0.0,0.12080890746581807,0.0
中洲４丁目,夫婦と子供から成る世帯,3,11,1,1,True,0.0,-0.0,0.12080890746581807,0.0
中洲４丁目,その他の核家族世帯,2,5,1,1,True,0.0,-0.0,0.12080890746581807,0.0
中洲４丁目,核家族以外の世帯,1,4,1,1,True,0.0,-0.0,0.12080890746581807,0.0
中洲４丁目,非親族を含む世帯,0,0,1,1,True,0.0,-0.0,0.12080890746581807,0.0
中洲４丁目,単独世帯,4,4,1,1,True,1.0,0.12080890746581797,1.2416178149316361,0.0
中洲５丁目,夫婦のみの世帯,13,26,1,2,False,0.024528301886792454,-0.01663804557563885,0.08928439127284295,0.0
中洲５丁目,夫婦と子供から成る世帯,3,11,1,2,False,0.005660377358490566,-0.004760002073073831,0.08229451024710609,0.0
中洲５丁目,その他の核家族世帯,4,10,1,2,False,0.007547169811320755,-0.005606980696351869,0.08333432407665824,0.0
中洲５丁目,核家族以外の世帯,1,2,1,2,False,0.0018867924528301887,-0.0013619023753993962,0.08191902503912014,0.0
中洲５丁目,非親族を含む世帯,4,8,1,2,False,0.007547169811320755,-0.005349308412635604,0.0835919963603745,0.0
中洲５丁目,単独世帯,505,505,1,2,False,0.9528301886792453,0.11511037409478883,1.1493346977357235,0.0
井相田１丁目,夫婦のみの世帯,8,16,18,18,True,0.0,-0.0,374.64023339026744,372.4656730558827
井相田１丁目,夫婦と子供から成る世帯,33,128,18,18,True,0.0,-0.0,374.64023339026744,372.4656730558827
井相田１丁目,その他の核家族世帯,7,18,18,18,True,0.0,-0.0,374.64023339026744,372.4656730558827
井相田１丁目,核家族以外の世帯,0,0,18,18,True,0.0,-0.0,374.64023339026744,372.4656730558827
井相田１丁目,非親族を含む世帯,1,2,18,18,True,0.0,-0.0,374.64023339026744,372.4656730558827
井相田１丁目,単独世帯,40,40,18,18,True,18.0,2.1745603343847235,394.8147937246524,372.4656730558827
井相田２丁目,夫婦のみの世帯,22,44,0,0,True,0.0,-0.0,0.0,0.0
井相田２丁目,夫婦と子供から成る世帯,78,287,0,0,True,0.0,-0.0,0.0,0.0
