町丁目,夫婦のみの世帯,夫婦と子供から成る世帯,その他の核家族世帯,核家族以外の世帯,非親族を含む世帯,単独世帯,夫婦のみの世帯.1,夫婦と子供から成る世帯.1,その他の核家族世帯.1,核家族以外の世帯.1,非親族を含む世帯.1,単独世帯.1
上牟田２丁目,10,13,3,8,1,34,20,46,6,29,2,34
上牟田３丁目,46,54,43,24,3,162,92,201,103,91,6,162
大井１丁目,2,1,2,1,1,4,4,3,4,6,2,4
大井２丁目,21,31,15,4,5,85,42,114,39,16,10,85
大字下臼井,0,0,0,0,0,0,0,0,0,0,0,0
大字下月隈,0,0,0,0,0,0,0,0,0,0,0,0
大字立花寺,9,29,8,9,0,6,18,114,21,43,0,6
大字金隈,0,0,0,0,0,0,0,0,0,0,0,0
西月隈１丁目,20,18,11,7,2,120,40,62,30,28,6,120
西月隈３丁目,76,151,36,12,6,192,152,533,83,50,17,192
西月隈４丁目,0,0,0,0,0,13,0,0,0,0,0,13
西月隈５丁目,31,59,30,22,3,108,62,219,68,92,6,108
西月隈６丁目,0,4,1,1,2,23,0,18,3,2,4,23
東月隈１丁目,76,85,25,22,1,38,152,309,62,87,2,38
東月隈２丁目,80,76,17,27,0,28,160,258,41,127,0,28
東月隈３丁目,112,119,38,35,1,99,224,431,94,153,5,99
東月隈４丁目,155,169,166,43,7,262,310,654,397,146,18,262
東月隈５丁目,94,101,31,55,3,84,188,352,69,247,12,84
浦田１丁目,118,231,71,56,8,170,236,840,188,241,20,170
浦田２丁目,74,187,23,28,2,112,148,685,62,109,7,112
東那珂１丁目,109,251,53,31,12,327,218,936,130,125,24,327
東那珂２丁目,94,181,46,30,9,292,188,667,115,104,20,292
東那珂３丁目,85,190,60,43,8,177,170,715,146,173,21,177
半道橋１丁目,127,218,65,41,9,288,254,789,155,149,21,288
半道橋２丁目,19,14,9,10,3,54,38,49,19,35,9,54
竹下１丁目,54,76,19,7,5,362,108,274,45,23,11,362
竹下２丁目,37,23,7,6,7,374,74,85,15,18,14,374
竹下３丁目,0,0,0,0,0,0,0,0,0,0,0,0
竹下４丁目,71,59,48,14,10,496,142,202,112,48,21,496
竹下５丁目,90,155,33,23,5,410,180,556,81,78,11,410
東光寺町１丁目,65,71,18,20,14,188,130,259,45,80,30,188
東光寺町２丁目,44,100,29,6,1,86,88,368,77,21,2,86
那珂１丁目,117,197,66,48,10,520,234,705,166,188,27,520
那珂２丁目,98,158,41,26,3,245,196,580,96,97,6,245
那珂３丁目,113,249,118,36,11,254,226,945,288,140,25,254
那珂４丁目,84,228,62,32,4,200,168,852,150,121,10,200
那珂５丁目,66,126,46,21,5,223,132,458,114,83,15,223
那珂６丁目,58,124,25,17,0,228,116,454,62,78,0,228
板付１丁目,33,56,11,9,3,84,66,194,25,32,9,84
板付２丁目,64,129,31,32,4,112,128,479,77,133,9,112
板付３丁目,301,357,285,76,7,558,602,1327,667,285,19,558
板付４丁目,116,164,83,22,6,317,232,600,196,79,16,317
板付５丁目,79,182,54,29,5,286,158,660,130,130,16,286
板付６丁目,47,87,21,11,3,106,94,315,53,45,6,106
板付７丁目,161,306,118,34,13,360,322,1148,284,116,27,360
大字板付,10,16,6,4,0,9,20,55,16,17,0,9
諸岡１丁目,64,128,36,35,0,77,128,464,86,160,0,77
諸岡２丁目,89,126,46,14,9,193,178,452,116,60,25,193
諸岡３丁目,218,506,120,75,14,699,436,1876,289,291,38,699
諸岡４丁目,146,160,73,57,17,380,292,564,166,217,43,380
諸岡５丁目,136,215,62,41,6,464,272,768,150,158,12,464
諸岡６丁目,109,154,42,32,12,289,218,530,98,128,29,289
麦野１丁目,74,84,32,38,3,152,148,291,69,170,7,152
麦野２丁目,85,143,49,18,3,107,170,519,125,69,8,107
麦野３丁目,55,130,30,21,4,174,110,501,85,95,10,174
麦野４丁目,124,162,78,34,11,533,248,588,187,125,27,533
麦野５丁目,133,176,88,44,9,349,266,626,209,170,23,349
麦野６丁目,82,98,51,37,10,499,164,343,116,130,20,499
井相田１丁目,8,33,7,0,1,40,16,128,18,0,2,40
井相田２丁目,22,78,9,5,2,71,44,287,25,20,4,71
井相田３丁目,106,147,23,29,12,248,212,529,59,118,28,248
三筑１丁目,63,179,34,19,5,165,126,677,85,74,11,165
三筑２丁目,118,234,82,37,9,424,236,872,215,145,22,424
相生町１丁目,46,89,25,4,1,33,92,321,60,16,2,33
相生町２丁目,39,51,13,10,3,224,78,182,28,40,6,224
相生町３丁目,59,87,47,16,8,201,118,308,116,49,21,201
銀天町１丁目,20,37,14,4,0,57,40,128,35,17,0,57
銀天町２丁目,19,19,7,2,2,116,38,68,17,5,4,116
銀天町３丁目,17,15,9,5,4,167,34,50,18,13,8,167
寿町１丁目,18,17,1,0,0,5,36,59,2,0,0,5
寿町２丁目,71,65,23,12,7,411,142,228,51,42,15,411
寿町３丁目,58,82,31,11,4,249,116,290,71,35,8,249
昭南町１丁目,27,37,16,5,2,173,54,132,38,25,4,173
昭南町２丁目,12,15,6,3,1,95,24,53,13,7,2,95
昭南町３丁目,25,15,12,11,2,108,50,55,25,42,4,108
新和町１丁目,39,59,40,18,0,103,78,220,98,59,0,103
新和町２丁目,44,88,25,17,3,184,88,322,57,75,6,184
西春町１丁目,35,57,37,19,0,193,70,217,85,66,0,193
西春町２丁目,10,9,3,4,1,80,20,31,7,16,2,80
西春町３丁目,37,50,17,9,1,124,74,170,35,33,2,124
西春町４丁目,15,29,18,6,3,39,30,103,40,20,9,39
春町１丁目,19,22,18,6,2,194,38,75,42,21,7,194
春町２丁目,49,68,32,9,5,174,98,249,76,34,10,174
春町３丁目,39,36,15,7,4,134,78,124,36,26,8,134
東雲町１丁目,8,3,2,1,1,101,16,12,4,3,2,101
東雲町２丁目,33,65,26,6,4,132,66,226,63,21,8,132
東雲町３丁目,26,39,10,10,0,81,52,136,25,33,0,81
東雲町４丁目,13,17,6,5,0,99,26,59,16,17,0,99
光丘町１丁目,43,72,40,10,0,190,86,265,96,35,0,190
光丘町２丁目,17,46,8,6,0,82,34,175,18,25,0,82
光丘町３丁目,19,36,11,5,2,64,38,129,26,20,4,64
南本町１丁目,19,11,8,6,2,91,38,41,18,25,4,91
南本町２丁目,33,28,23,11,3,119,66,102,48,43,7,119
南八幡町１丁目,39,77,22,11,3,220,78,284,57,38,9,220
南八幡町２丁目,57,171,41,16,5,228,114,628,96,65,11,228
竹丘町１丁目,30,31,11,11,2,97,60,112,27,38,4,97
竹丘町２丁目,25,42,22,8,2,216,50,158,50,27,5,216
竹丘町３丁目,21,5,8,4,1,75,42,17,16,10,2,75
元町１丁目,28,30,14,8,1,132,56,107,30,25,2,132
元町２丁目,152,208,59,31,3,368,304,750,138,106,9,368
元町３丁目,6,76,3,0,0,4,12,284,7,0,0,4
青木１丁目,127,234,53,33,3,230,254,861,133,130,12,230
青木２丁目,2,2,1,1,0,0,4,7,4,6,0,0
空港前１丁目,1,1,0,1,0,15,2,4,0,7,0,15
空港前２丁目,49,84,24,30,4,271,98,297,56,120,8,271
空港前３丁目,46,74,29,37,8,384,92,261,73,163,17,384
空港前４丁目,7,19,2,16,1,49,14,63,6,75,5,49
空港前５丁目,29,44,13,16,1,34,58,168,31,69,2,34
東平尾１丁目,68,113,20,11,5,160,136,408,47,46,11,160
東平尾２丁目,75,106,21,21,8,104,150,381,49,84,21,104
東平尾３丁目,0,0,0,0,0,0,0,0,0,0,0,0
東平尾公園１丁目,0,0,0,0,0,0,0,0,0,0,0,0
東平尾公園２丁目,0,0,0,0,0,0,0,0,0,0,0,0
月隈１丁目,18,34,7,8,1,18,36,128,18,35,3,18
月隈２丁目,41,107,28,21,2,55,82,400,70,93,4,55
月隈３丁目,18,40,15,6,0,41,36,153,36,29,-,41
月隈４丁目,0,0,0,0,0,0,0,0,0,0,0,0
月隈５丁目,0,0,0,0,0,0,0,0,0,0,0,0
月隈６丁目,34,62,17,13,4,114,68,221,48,62,9,114
立花寺,36,47,9,16,2,96,72,168,27,71,4,96
金の隈１丁目,132,192,49,41,6,235,264,733,119,176,12,235
金の隈２丁目,52,96,30,16,3,110,104,353,75,74,8,110
金の隈３丁目,91,136,29,28,4,328,182,495,66,118,10,328
博多港,0,0,0,0,0,0,0,0,0,0,0,0
