Town,AreaRange,TotalHouseholds,TotalPopulation
板付１丁目,50～69㎡,55,114
板付１丁目,70～99㎡,45,131
板付１丁目,100～149㎡,16,38
板付１丁目,150㎡以上,12,36
板付２丁目,0～29㎡,31,43
板付２丁目,30～49㎡,47,87
板付２丁目,50～69㎡,123,321
板付２丁目,70～99㎡,113,301
板付２丁目,100～149㎡,33,97
板付２丁目,150㎡以上,25,89
板付３丁目,0～29㎡,10,13
板付３丁目,30～49㎡,745,1534
板付３丁目,50～69㎡,719,1594
板付３丁目,70～99㎡,100,284
板付３丁目,100～149㎡,8,26
板付３丁目,150㎡以上,1,6
板付４丁目,0～29㎡,104,133
板付４丁目,30～49㎡,272,491
板付４丁目,50～69㎡,192,459
板付４丁目,70～99㎡,87,209
板付４丁目,100～149㎡,36,96
板付４丁目,150㎡以上,15,50
板付５丁目,0～29㎡,131,180
板付５丁目,30～49㎡,157,252
板付５丁目,50～69㎡,128,323
板付５丁目,70～99㎡,103,278
板付５丁目,100～149㎡,74,212
板付５丁目,150㎡以上,42,135
板付６丁目,0～29㎡,27,40
板付６丁目,30～49㎡,84,163
板付６丁目,50～69㎡,95,225
板付６丁目,70～99㎡,51,132
板付６丁目,100～149㎡,10,31
板付６丁目,150㎡以上,7,27
板付７丁目,0～29㎡,111,136
板付７丁目,30～49㎡,331,686
板付７丁目,50～69㎡,257,627
板付７丁目,70～99㎡,202,571
板付７丁目,100～149㎡,61,159
板付７丁目,150㎡以上,29,77
大字板付,0～29㎡,1,1
大字板付,30～49㎡,2,5
大字板付,50～69㎡,16,38
大字板付,70～99㎡,25,71
大字板付,100～149㎡,1,2
大字板付,150㎡以上,0,0
諸岡１丁目,0～29㎡,13,18
諸岡１丁目,30～49㎡,35,66
諸岡１丁目,50～69㎡,99,240
諸岡１丁目,70～99㎡,109,310
諸岡１丁目,100～149㎡,50,155
諸岡１丁目,150㎡以上,32,119
諸岡２丁目,0～29㎡,93,115
諸岡２丁目,30～49㎡,110,216
諸岡２丁目,50～69㎡,140,323
諸岡２丁目,70～99㎡,93,247
諸岡２丁目,100～149㎡,27,87
諸岡２丁目,150㎡以上,14,36
諸岡３丁目,0～29㎡,326,354
諸岡３丁目,30～49㎡,209,361
諸岡３丁目,50～69㎡,377,869
諸岡３丁目,70～99㎡,538,1519
諸岡３丁目,100～149㎡,128,382
諸岡３丁目,150㎡以上,49,139
諸岡４丁目,0～29㎡,177,212
諸岡４丁目,30～49㎡,135,204
諸岡４丁目,50～69㎡,167,366
諸岡４丁目,70～99㎡,191,425
諸岡４丁目,100～149㎡,107,300
諸岡４丁目,150㎡以上,56,155
諸岡５丁目,0～29㎡,206,242
諸岡５丁目,30～49㎡,145,221
諸岡５丁目,50～69㎡,164,344
諸岡５丁目,70～99㎡,224,568
諸岡５丁目,100～149㎡,112,303
諸岡５丁目,150㎡以上,36,109
諸岡６丁目,0～29㎡,123,152
諸岡６丁目,30～49㎡,121,202
諸岡６丁目,50～69㎡,131,297
諸岡６丁目,70～99㎡,114,274
諸岡６丁目,100～149㎡,79,205
諸岡６丁目,150㎡以上,48,140
麦野１丁目,0～29㎡,47,59
麦野１丁目,30～49㎡,53,80
麦野１丁目,50～69㎡,36,71
麦野１丁目,70～99㎡,70,153
麦野１丁目,100～149㎡,109,266
麦野１丁目,150㎡以上,67,203
麦野２丁目,0～29㎡,32,47
麦野２丁目,30～49㎡,66,149
麦野２丁目,50～69㎡,150,380
麦野２丁目,70～99㎡,75,194
麦野２丁目,100～149㎡,56,145
麦野２丁目,150㎡以上,26,83
麦野３丁目,0～29㎡,42,59
麦野３丁目,30～49㎡,56,126
麦野３丁目,50～69㎡,67,191
麦野３丁目,70～99㎡,76,213
麦野３丁目,100～149㎡,61,200
麦野３丁目,150㎡以上,33,106
麦野４丁目,0～29㎡,259,291
麦野４丁目,30～49㎡,205,324
麦野４丁目,50～69㎡,188,395
麦野４丁目,70～99㎡,143,317
麦野４丁目,100～149㎡,84,217
麦野４丁目,150㎡以上,56,156
麦野５丁目,0～29㎡,133,173
麦野５丁目,30～49㎡,158,282
麦野５丁目,50～69㎡,224,466
麦野５丁目,70～99㎡,193,463
麦野５丁目,100～149㎡,48,122
麦野５丁目,150㎡以上,40,135
麦野６丁目,0～29㎡,256,288
麦野６丁目,30～49㎡,152,212
麦野６丁目,50～69㎡,153,282
麦野６丁目,70～99㎡,113,218
麦野６丁目,100～149㎡,44,105
麦野６丁目,150㎡以上,58,165
井相田１丁目,0～29㎡,0,0
井相田１丁目,30～49㎡,0,0
井相田１丁目,50～69㎡,13,27
井相田１丁目,70～99㎡,48,134
井相田１丁目,100～149㎡,3,13
井相田１丁目,150㎡以上,3,8
井相田２丁目,0～29㎡,15,16
井相田２丁目,30～49㎡,26,45
井相田２丁目,50～69㎡,61,141
井相田２丁目,70～99㎡,80,233
井相田２丁目,100～149㎡,4,11
井相田２丁目,150㎡以上,1,5
井相田３丁目,0～29㎡,96,119
井相田３丁目,30～49㎡,97,160
井相田３丁目,50～69㎡,156,331
井相田３丁目,70～99㎡,130,321
井相田３丁目,100～149㎡,54,157
井相田３丁目,150㎡以上,32,106
三筑１丁目,0～29㎡,40,54
三筑１丁目,30～49㎡,44,91
三筑１丁目,50～69㎡,121,319
三筑１丁目,70～99㎡,184,567
三筑１丁目,100～149㎡,10,28
三筑１丁目,150㎡以上,5,18
三筑２丁目,0～29㎡,188,242
三筑２丁目,30～49㎡,171,315
三筑２丁目,50～69㎡,232,504
三筑２丁目,70～99㎡,234,644
三筑２丁目,100～149㎡,47,124
三筑２丁目,150㎡以上,30,83
相生町１丁目,0～29㎡,0,0
相生町１丁目,30～49㎡,2,2
相生町１丁目,50～69㎡,75,187
相生町１丁目,70～99㎡,119,330
相生町１丁目,100～149㎡,1,2
相生町１丁目,150㎡以上,1,3
相生町２丁目,0～29㎡,149,155
相生町２丁目,30～49㎡,53,89
相生町２丁目,50～69㎡,59,120
相生町２丁目,70～99㎡,50,112
相生町２丁目,100～149㎡,21,58
相生町２丁目,150㎡以上,8,24
相生町３丁目,0～29㎡,81,93
相生町３丁目,30～49㎡,160,278
相生町３丁目,50～69㎡,92,217
相生町３丁目,70～99㎡,72,191
相生町３丁目,100～149㎡,7,16
相生町３丁目,150㎡以上,6,18
銀天町１丁目,0～29㎡,17,18
銀天町１丁目,30～49㎡,16,22
銀天町１丁目,50～69㎡,25,44
銀天町１丁目,70～99㎡,57,145
銀天町１丁目,100～149㎡,8,20
銀天町１丁目,150㎡以上,8,27
銀天町２丁目,0～29㎡,46,46
銀天町２丁目,30～49㎡,30,32
銀天町２丁目,50～69㎡,28,41
銀天町２丁目,70～99㎡,46,107
銀天町２丁目,100～149㎡,5,11
銀天町２丁目,150㎡以上,3,4
銀天町３丁目,0～29㎡,67,75
銀天町３丁目,30～49㎡,102,127
銀天町３丁目,50～69㎡,26,40
銀天町３丁目,70～99㎡,11,21
銀天町３丁目,100～149㎡,6,14
銀天町３丁目,150㎡以上,5,13
寿町１丁目,0～29㎡,2,2
寿町１丁目,30～49㎡,0,0
寿町１丁目,50～69㎡,39,100
寿町１丁目,70～99㎡,0,0
寿町１丁目,100～149㎡,0,0
寿町１丁目,150㎡以上,0,0
寿町２丁目,0～29㎡,235,250
寿町２丁目,30～49㎡,59,60
寿町２丁目,50～69㎡,145,277
寿町２丁目,70～99㎡,115,239
寿町２丁目,100～149㎡,22,46
寿町２丁目,150㎡以上,6,10
寿町３丁目,0～29㎡,95,103
寿町３丁目,30～49㎡,73,81
寿町３丁目,50～69㎡,90,162
寿町３丁目,70～99㎡,163,385
寿町３丁目,100～149㎡,13,36
寿町３丁目,150㎡以上,1,2
昭南町１丁目,0～29㎡,70,76
昭南町１丁目,30～49㎡,48,71
昭南町１丁目,50～69㎡,63,105
昭南町１丁目,70～99㎡,60,119
昭南町１丁目,100～149㎡,13,37
昭南町１丁目,150㎡以上,6,18
昭南町２丁目,0～29㎡,56,62
昭南町２丁目,30～49㎡,27,39
昭南町２丁目,50～69㎡,17,30
昭南町２丁目,70～99㎡,20,31
昭南町２丁目,100～149㎡,8,20
昭南町２丁目,150㎡以上,4,12
昭南町３丁目,0～29㎡,51,59
昭南町３丁目,30～49㎡,39,50
昭南町３丁目,50～69㎡,34,54
昭南町３丁目,70～99㎡,30,65
昭南町３丁目,100～149㎡,10,31
昭南町３丁目,150㎡以上,9,25
新和町１丁目,0～29㎡,5,5
新和町１丁目,30～49㎡,37,62
新和町１丁目,50～69㎡,152,309
新和町１丁目,70～99㎡,58,162
新和町１丁目,100～149㎡,7,20
新和町１丁目,150㎡以上,0,0
新和町２丁目,0～29㎡,89,109
新和町２丁目,30～49㎡,59,87
新和町２丁目,50～69㎡,85,181
新和町２丁目,70～99㎡,83,217
新和町２丁目,100～149㎡,28,79
新和町２丁目,150㎡以上,15,58
西春町１丁目,0～29㎡,82,91
西春町１丁目,30～49㎡,111,180
西春町１丁目,50～69㎡,43,94
西春町１丁目,70～99㎡,61,164
西春町１丁目,100～149㎡,16,46
西春町１丁目,150㎡以上,9,37
西春町２丁目,0～29㎡,20,22
西春町２丁目,30～49㎡,17,25
西春町２丁目,50～69㎡,8,18
西春町２丁目,70～99㎡,6,9
西春町２丁目,100～149㎡,10,27
西春町２丁目,150㎡以上,5,13
西春町３丁目,0～29㎡,63,74
西春町３丁目,30～49㎡,54,93
西春町３丁目,50～69㎡,68,139
西春町３丁目,70～99㎡,28,67
西春町３丁目,100～149㎡,14,40
西春町３丁目,150㎡以上,11,25
西春町４丁目,0～29㎡,11,18
西春町４丁目,30～49㎡,25,38
西春町４丁目,50～69㎡,31,73
西春町４丁目,70～99㎡,27,68
西春町４丁目,100～149㎡,11,31
西春町４丁目,150㎡以上,5,13
春町１丁目,0～29㎡,95,102
春町１丁目,30～49㎡,71,86
春町１丁目,50～69㎡,40,73
春町１丁目,70～99㎡,17,31
春町１丁目,100～149㎡,10,27
春町１丁目,150㎡以上,13,41
春町２丁目,0～29㎡,85,109
春町２丁目,30～49㎡,55,85
春町２丁目,50～69㎡,78,170
春町２丁目,70～99㎡,73,164
春町２丁目,100～149㎡,32,78
春町２丁目,150㎡以上,14,35
春町３丁目,0～29㎡,64,77
春町３丁目,30～49㎡,59,96
春町３丁目,50～69㎡,48,79
春町３丁目,70～99㎡,37,82
春町３丁目,100～149㎡,22,58
春町３丁目,150㎡以上,5,14
東雲町１丁目,0～29㎡,57,59
東雲町１丁目,30～49㎡,27,28
東雲町１丁目,50～69㎡,16,21
東雲町１丁目,70～99㎡,4,4
東雲町１丁目,100～149㎡,6,10
東雲町１丁目,150㎡以上,6,16
東雲町２丁目,0～29㎡,41,46
東雲町２丁目,30～49㎡,90,152
東雲町２丁目,50～69㎡,63,128
東雲町２丁目,70～99㎡,64,169
東雲町２丁目,100～149㎡,7,19
東雲町２丁目,150㎡以上,1,2
東雲町３丁目,0～29㎡,27,34
東雲町３丁目,30～49㎡,42,67
東雲町３丁目,50～69㎡,36,64
東雲町３丁目,70～99㎡,42,113
東雲町３丁目,100～149㎡,14,34
東雲町３丁目,150㎡以上,5,15
東雲町４丁目,0～29㎡,34,38
東雲町４丁目,30～49㎡,51,58
東雲町４丁目,50～69㎡,33,67
東雲町４丁目,70～99㎡,11,24
東雲町４丁目,100～149㎡,5,14
東雲町４丁目,150㎡以上,6,16
光丘町１丁目,0～29㎡,87,100
光丘町１丁目,30～49㎡,73,114
光丘町１丁目,50～69㎡,88,195
光丘町１丁目,70～99㎡,80,197
光丘町１丁目,100～149㎡,14,34
光丘町１丁目,150㎡以上,10,26
光丘町２丁目,0～29㎡,37,39
光丘町２丁目,30～49㎡,21,24
光丘町２丁目,50～69㎡,15,32
光丘町２丁目,70～99㎡,50,157
光丘町２丁目,100～149㎡,15,35
光丘町２丁目,150㎡以上,16,42
光丘町３丁目,0～29㎡,36,43
光丘町３丁目,30～49㎡,17,30
光丘町３丁目,50～69㎡,36,87
光丘町３丁目,70～99㎡,27,67
光丘町３丁目,100～149㎡,16,43
光丘町３丁目,150㎡以上,4,10
南本町１丁目,0～29㎡,60,66
南本町１丁目,30～49㎡,22,27
南本町１丁目,50～69㎡,12,30
南本町１丁目,70～99㎡,25,53
南本町１丁目,100～149㎡,9,19
南本町１丁目,150㎡以上,9,22
南本町２丁目,0～29㎡,24,26
南本町２丁目,30～49㎡,60,86
南本町２丁目,50～69㎡,90,157
南本町２丁目,70～99㎡,31,73
南本町２丁目,100～149㎡,7,28
南本町２丁目,150㎡以上,5,15
南八幡町１丁目,0～29㎡,111,116
南八幡町１丁目,30～49㎡,65,92
南八幡町１丁目,50～69㎡,76,165
南八幡町１丁目,70～99㎡,91,236
南八幡町１丁目,100～149㎡,20,57
南八幡町１丁目,150㎡以上,8,19
南八幡町２丁目,0～29㎡,95,111
南八幡町２丁目,30～49㎡,87,123
南八幡町２丁目,50～69㎡,113,258
南八幡町２丁目,70～99㎡,195,569
南八幡町２丁目,100～149㎡,17,47
南八幡町２丁目,150㎡以上,10,32
竹丘町１丁目,0～29㎡,37,44
竹丘町１丁目,30～49㎡,30,40
竹丘町１丁目,50～69㎡,52,103
竹丘町１丁目,70～99㎡,41,98
竹丘町１丁目,100～149㎡,12,28
竹丘町１丁目,150㎡以上,10,25
竹丘町２丁目,0～29㎡,85,89
竹丘町２丁目,30～49㎡,66,87
竹丘町２丁目,50～69㎡,98,184
竹丘町２丁目,70～99㎡,51,110
竹丘町２丁目,100～149㎡,8,19
竹丘町２丁目,150㎡以上,3,11
竹丘町３丁目,0～29㎡,28,36
竹丘町３丁目,30～49㎡,64,89
竹丘町３丁目,50～69㎡,18,28
竹丘町３丁目,70～99㎡,4,9
竹丘町３丁目,100～149㎡,0,0
竹丘町３丁目,150㎡以上,0,0
元町１丁目,0～29㎡,43,45
元町１丁目,30～49㎡,37,48
元町１丁目,50～69㎡,64,125
元町１丁目,70～99㎡,36,62
元町１丁目,100～149㎡,19,39
元町１丁目,150㎡以上,10,29
元町２丁目,0～29㎡,102,114
元町２丁目,30～49㎡,135,161
元町２丁目,50～69㎡,210,449
元町２丁目,70～99㎡,356,896
元町２丁目,100～149㎡,13,41
元町２丁目,150㎡以上,5,14
元町３丁目,0～29㎡,0,0
元町３丁目,30～49㎡,5,16
元町３丁目,50～69㎡,19,65
元町３丁目,70～99㎡,63,220
元町３丁目,100～149㎡,2,6
元町３丁目,150㎡以上,0,0
青木１丁目,0～29㎡,50,67
青木１丁目,30～49㎡,52,84
青木１丁目,50～69㎡,291,692
青木１丁目,70～99㎡,242,627
青木１丁目,100～149㎡,26,83
青木１丁目,150㎡以上,16,59
青木２丁目,0～29㎡,0,0
青木２丁目,30～49㎡,0,0
青木２丁目,50～69㎡,0,0
青木２丁目,70～99㎡,1,2
青木２丁目,100～149㎡,3,9
青木２丁目,150㎡以上,2,10
空港前１丁目,0～29㎡,10,10
空港前１丁目,30～49㎡,4,4
空港前１丁目,50～69㎡,1,1
空港前１丁目,70～99㎡,0,0
空港前１丁目,100～149㎡,2,6
空港前１丁目,150㎡以上,1,7
空港前２丁目,0～29㎡,138,148
空港前２丁目,30～49㎡,98,141
空港前２丁目,50～69㎡,81,157
空港前２丁目,70～99㎡,73,176
空港前２丁目,100～149㎡,39,110
空港前２丁目,150㎡以上,33,118
空港前３丁目,0～29㎡,207,227
空港前３丁目,30～49㎡,129,176
空港前３丁目,50～69㎡,63,101
空港前３丁目,70～99㎡,75,158
空港前３丁目,100～149㎡,51,137
空港前３丁目,150㎡以上,53,191
空港前４丁目,0～29㎡,9,9
空港前４丁目,30～49㎡,7,11
空港前４丁目,50～69㎡,3,10
空港前４丁目,70～99㎡,10,24
空港前４丁目,100～149㎡,5,12
空港前４丁目,150㎡以上,29,111
空港前５丁目,0～29㎡,5,9
空港前５丁目,30～49㎡,12,29
空港前５丁目,50～69㎡,22,68
空港前５丁目,70～99㎡,49,116
空港前５丁目,100～149㎡,24,71
空港前５丁目,150㎡以上,25,75
東平尾１丁目,0～29㎡,56,79
東平尾１丁目,30～49㎡,73,132
東平尾１丁目,50～69㎡,160,391
東平尾１丁目,70～99㎡,55,143
東平尾１丁目,100～149㎡,10,28
東平尾１丁目,150㎡以上,8,20
東平尾２丁目,0～29㎡,39,62
東平尾２丁目,30～49㎡,64,104
東平尾２丁目,50～69㎡,85,218
東平尾２丁目,70～99㎡,67,190
東平尾２丁目,100～149㎡,37,108
東平尾２丁目,150㎡以上,41,105
東平尾３丁目,0～29㎡,0,0
東平尾３丁目,30～49㎡,0,0
東平尾３丁目,50～69㎡,0,0
東平尾３丁目,70～99㎡,0,0
東平尾３丁目,100～149㎡,0,0
東平尾３丁目,150㎡以上,0,0
東平尾公園１丁目,0～29㎡,0,0
東平尾公園１丁目,30～49㎡,0,0
東平尾公園１丁目,50～69㎡,0,0
東平尾公園１丁目,70～99㎡,0,0
東平尾公園１丁目,100～149㎡,0,0
東平尾公園１丁目,150㎡以上,0,0
東平尾公園２丁目,0～29㎡,0,0
東平尾公園２丁目,30～49㎡,0,0
東平尾公園２丁目,50～69㎡,0,0
東平尾公園２丁目,70～99㎡,0,0
東平尾公園２丁目,100～149㎡,0,0
東平尾公園２丁目,150㎡以上,0,0
月隈１丁目,0～29㎡,3,4
月隈１丁目,30～49㎡,12,34
月隈１丁目,50～69㎡,23,61
月隈１丁目,70～99㎡,20,49
月隈１丁目,100～149㎡,14,50
月隈１丁目,150㎡以上,13,38
月隈２丁目,0～29㎡,15,24
月隈２丁目,30～49㎡,50,106
月隈２丁目,50～69㎡,55,135
月隈２丁目,70～99㎡,44,137
月隈２丁目,100～149㎡,57,203
月隈２丁目,150㎡以上,33,99
月隈３丁目,0～29㎡,12,16
月隈３丁目,30～49㎡,25,51
月隈３丁目,50～69㎡,26,53
月隈３丁目,70～99㎡,22,55
月隈３丁目,100～149㎡,21,71
月隈３丁目,150㎡以上,13,48
月隈４丁目,0～29㎡,0,0
月隈４丁目,30～49㎡,0,0
月隈４丁目,50～69㎡,0,0
月隈４丁目,70～99㎡,0,0
月隈４丁目,100～149㎡,0,0
月隈４丁目,150㎡以上,0,0
月隈５丁目,0～29㎡,0,0
月隈５丁目,30～49㎡,0,0
月隈５丁目,50～69㎡,0,0
月隈５丁目,70～99㎡,0,0
月隈５丁目,100～149㎡,0,0
月隈５丁目,150㎡以上,0,0
月隈６丁目,0～29㎡,60,84
月隈６丁目,30～49㎡,56,110
月隈６丁目,50～69㎡,70,151
月隈６丁目,70～99㎡,32,81
月隈６丁目,100～149㎡,11,38
月隈６丁目,150㎡以上,15,58
立花寺,0～29㎡,27,39
立花寺,30～49㎡,36,55
立花寺,50～69㎡,28,52
立花寺,70～99㎡,50,113
立花寺,100～149㎡,37,103
立花寺,150㎡以上,22,65
金の隈１丁目,0～29㎡,59,83
金の隈１丁目,30～49㎡,96,159
金の隈１丁目,50～69㎡,208,513
金の隈１丁目,70～99㎡,179,462
金の隈１丁目,100～149㎡,60,174
金の隈１丁目,150㎡以上,45,140
金の隈２丁目,0～29㎡,28,39
金の隈２丁目,30～49㎡,42,74
金の隈２丁目,50～69㎡,90,221
金の隈２丁目,70～99㎡,73,173
金の隈２丁目,100～149㎡,59,181
金の隈２丁目,150㎡以上,10,31
金の隈３丁目,0～29㎡,93,120
金の隈３丁目,30～49㎡,108,160
金の隈３丁目,50～69㎡,151,269
金の隈３丁目,70～99㎡,143,354
金の隈３丁目,100～149㎡,54,181
金の隈３丁目,150㎡以上,20,64
博多港,0～29㎡,0,0
博多港,30～49㎡,0,0
博多港,50～69㎡,0,0
博多港,70～99㎡,0,0
博多港,100～149㎡,0,0
博多港,150㎡以上,0,0
