Town,AreaRange,TotalHouseholds,TotalPopulation
住吉３丁目,0～29㎡,603,636
住吉３丁目,30～49㎡,435,520
住吉３丁目,50～69㎡,219,291
住吉３丁目,70～99㎡,144,196
住吉３丁目,100～149㎡,36,68
住吉３丁目,150㎡以上,12,43
住吉４丁目,0～29㎡,795,859
住吉４丁目,30～49㎡,468,579
住吉４丁目,50～69㎡,254,379
住吉４丁目,70～99㎡,196,346
住吉４丁目,100～149㎡,49,110
住吉４丁目,150㎡以上,23,55
住吉５丁目,0～29㎡,629,691
住吉５丁目,30～49㎡,379,483
住吉５丁目,50～69㎡,314,460
住吉５丁目,70～99㎡,270,489
住吉５丁目,100～149㎡,78,179
住吉５丁目,150㎡以上,33,103
上川端町,0～29㎡,105,114
上川端町,30～49㎡,107,158
上川端町,50～69㎡,58,78
上川端町,70～99㎡,67,115
上川端町,100～149㎡,28,78
上川端町,150㎡以上,20,52
下川端町,0～29㎡,22,27
下川端町,30～49㎡,46,62
下川端町,50～69㎡,33,40
下川端町,70～99㎡,54,77
下川端町,100～149㎡,5,13
下川端町,150㎡以上,7,20
店屋町,0～29㎡,196,212
店屋町,30～49㎡,128,159
店屋町,50～69㎡,101,160
店屋町,70～99㎡,48,89
店屋町,100～149㎡,5,10
店屋町,150㎡以上,16,36
冷泉町,0～29㎡,382,401
冷泉町,30～49㎡,329,379
冷泉町,50～69㎡,228,322
冷泉町,70～99㎡,150,268
冷泉町,100～149㎡,25,72
冷泉町,150㎡以上,17,44
祇園町,0～29㎡,325,374
祇園町,30～49㎡,299,383
祇園町,50～69㎡,125,190
祇園町,70～99㎡,89,145
祇園町,100～149㎡,15,32
祇園町,150㎡以上,8,30
中洲１丁目,0～29㎡,0,0
中洲１丁目,30～49㎡,1,1
中洲１丁目,50～69㎡,0,0
中洲１丁目,70～99㎡,0,0
中洲１丁目,100～149㎡,0,0
中洲１丁目,150㎡以上,2,4
中洲２丁目,0～29㎡,46,46
中洲２丁目,30～49㎡,2,2
中洲２丁目,50～69㎡,8,16
中洲２丁目,70～99㎡,6,10
中洲２丁目,100～149㎡,3,3
中洲２丁目,150㎡以上,0,0
中洲３丁目,0～29㎡,0,0
中洲３丁目,30～49㎡,0,0
中洲３丁目,50～69㎡,1,1
中洲３丁目,70～99㎡,4,9
中洲３丁目,100～149㎡,0,0
中洲３丁目,150㎡以上,4,6
中洲４丁目,0～29㎡,0,0
中洲４丁目,30～49㎡,2,2
中洲４丁目,50～69㎡,3,7
中洲４丁目,70～99㎡,2,6
中洲４丁目,100～149㎡,2,6
中洲４丁目,150㎡以上,1,4
中洲５丁目,0～29㎡,228,234
中洲５丁目,30～49㎡,192,203
中洲５丁目,50～69㎡,74,80
中洲５丁目,70～99㎡,26,27
中洲５丁目,100～149㎡,3,7
中洲５丁目,150㎡以上,2,5
中洲中島町,0～29㎡,112,114
中洲中島町,30～49㎡,93,109
中洲中島町,50～69㎡,60,72
中洲中島町,70～99㎡,60,110
中洲中島町,100～149㎡,4,6
中洲中島町,150㎡以上,1,5
古門戸町,0～29㎡,255,276
古門戸町,30～49㎡,135,155
古門戸町,50～69㎡,119,175
古門戸町,70～99㎡,97,224
古門戸町,100～149㎡,27,66
古門戸町,150㎡以上,17,46
対馬小路,0～29㎡,329,351
対馬小路,30～49㎡,202,265
対馬小路,50～69㎡,167,309
対馬小路,70～99㎡,163,368
対馬小路,100～149㎡,32,84
対馬小路,150㎡以上,23,66
築港本町,0～29㎡,495,528
築港本町,30～49㎡,453,517
築港本町,50～69㎡,218,304
築港本町,70～99㎡,206,383
築港本町,100～149㎡,12,37
築港本町,150㎡以上,8,26
奈良屋町,0～29㎡,262,283
奈良屋町,30～49㎡,158,211
奈良屋町,50～69㎡,157,270
奈良屋町,70～99㎡,192,448
奈良屋町,100～149㎡,39,105
奈良屋町,150㎡以上,27,98
神屋町,0～29㎡,652,714
神屋町,30～49㎡,401,481
神屋町,50～69㎡,188,278
神屋町,70～99㎡,126,210
神屋町,100～149㎡,29,69
神屋町,150㎡以上,29,67
須崎町,0～29㎡,324,349
須崎町,30～49㎡,152,180
須崎町,50～69㎡,89,132
須崎町,70～99㎡,83,165
須崎町,100～149㎡,34,80
須崎町,150㎡以上,20,49
綱場町,0～29㎡,211,221
綱場町,30～49㎡,171,199
綱場町,50～69㎡,41,53
綱場町,70～99㎡,32,46
綱場町,100～149㎡,9,25
綱場町,150㎡以上,8,20
石城町,0～29㎡,405,435
石城町,30～49㎡,138,170
石城町,50～69㎡,140,222
石城町,70～99㎡,94,156
石城町,100～149㎡,13,28
石城町,150㎡以上,6,25
上呉服町,0～29㎡,276,284
上呉服町,30～49㎡,149,175
上呉服町,50～69㎡,68,113
上呉服町,70～99㎡,152,384
上呉服町,100～149㎡,49,105
上呉服町,150㎡以上,40,117
中呉服町,0～29㎡,463,484
中呉服町,30～49㎡,243,265
中呉服町,50～69㎡,122,182
中呉服町,70～99㎡,55,77
中呉服町,100～149㎡,8,14
中呉服町,150㎡以上,13,27
下呉服町,0～29㎡,607,642
下呉服町,30～49㎡,237,292
下呉服町,50～69㎡,223,404
下呉服町,70～99㎡,114,219
下呉服町,100～149㎡,26,69
下呉服町,150㎡以上,26,74
大博町,0～29㎡,320,348
大博町,30～49㎡,300,436
大博町,50～69㎡,159,286
