Town,NonResSumHouseholds,NonResSumPopulation,FamilyType,NonResHouseholds,NonResPopulation
諸岡３丁目,5,5,夫婦と子供から成る世帯,0,0
諸岡３丁目,5,5,夫婦のみの世帯,0,0
諸岡３丁目,5,5,核家族以外の世帯,0,0
諸岡３丁目,5,5,非親族を含む世帯,0,0
諸岡４丁目,0,0,その他の核家族世帯,0,0
諸岡４丁目,0,0,単独世帯,0,0
諸岡４丁目,0,0,夫婦と子供から成る世帯,0,0
諸岡４丁目,0,0,夫婦のみの世帯,0,0
諸岡４丁目,0,0,核家族以外の世帯,0,0
諸岡４丁目,0,0,非親族を含む世帯,0,0
諸岡５丁目,37,37,その他の核家族世帯,0,0
諸岡５丁目,37,37,単独世帯,37,37
諸岡５丁目,37,37,夫婦と子供から成る世帯,0,0
諸岡５丁目,37,37,夫婦のみの世帯,0,0
諸岡５丁目,37,37,核家族以外の世帯,0,0
諸岡５丁目,37,37,非親族を含む世帯,0,0
諸岡６丁目,22,22,その他の核家族世帯,0,0
諸岡６丁目,22,22,単独世帯,22,22
諸岡６丁目,22,22,夫婦と子供から成る世帯,0,0
諸岡６丁目,22,22,夫婦のみの世帯,0,0
諸岡６丁目,22,22,核家族以外の世帯,0,0
諸岡６丁目,22,22,非親族を含む世帯,0,0
麦野２丁目,0,0,その他の核家族世帯,0,0
麦野２丁目,0,0,単独世帯,0,0
麦野２丁目,0,0,夫婦と子供から成る世帯,0,0
麦野２丁目,0,0,夫婦のみの世帯,0,0
麦野２丁目,0,0,核家族以外の世帯,0,0
麦野２丁目,0,0,非親族を含む世帯,0,0
麦野５丁目,4,4,その他の核家族世帯,0,0
麦野５丁目,4,4,単独世帯,4,4
麦野５丁目,4,4,夫婦と子供から成る世帯,0,0
麦野５丁目,4,4,夫婦のみの世帯,0,0
麦野５丁目,4,4,核家族以外の世帯,0,0
麦野５丁目,4,4,非親族を含む世帯,0,0
井相田１丁目,18,18,その他の核家族世帯,0,0
井相田１丁目,18,18,単独世帯,18,18
井相田１丁目,18,18,夫婦と子供から成る世帯,0,0
井相田１丁目,18,18,夫婦のみの世帯,0,0
井相田１丁目,18,18,核家族以外の世帯,0,0
井相田１丁目,18,18,非親族を含む世帯,0,0
井相田２丁目,0,0,その他の核家族世帯,0,0
井相田２丁目,0,0,単独世帯,0,0
井相田２丁目,0,0,夫婦と子供から成る世帯,0,0
井相田２丁目,0,0,夫婦のみの世帯,0,0
井相田２丁目,0,0,核家族以外の世帯,0,0
井相田２丁目,0,0,非親族を含む世帯,0,0
井相田３丁目,0,0,その他の核家族世帯,0,0
井相田３丁目,0,0,単独世帯,0,0
井相田３丁目,0,0,夫婦と子供から成る世帯,0,0
井相田３丁目,0,0,夫婦のみの世帯,0,0
井相田３丁目,0,0,核家族以外の世帯,0,0
井相田３丁目,0,0,非親族を含む世帯,0,0
三筑１丁目,61,61,その他の核家族世帯,0,0
三筑１丁目,61,61,単独世帯,61,61
三筑１丁目,61,61,夫婦と子供から成る世帯,0,0
三筑１丁目,61,61,夫婦のみの世帯,0,0
三筑１丁目,61,61,核家族以外の世帯,0,0
三筑１丁目,61,61,非親族を含む世帯,0,0
三筑２丁目,2,2,その他の核家族世帯,0,0
三筑２丁目,2,2,単独世帯,2,2
三筑２丁目,2,2,夫婦と子供から成る世帯,0,0
三筑２丁目,2,2,夫婦のみの世帯,0,0
三筑２丁目,2,2,核家族以外の世帯,0,0
三筑２丁目,2,2,非親族を含む世帯,0,0
相生町１丁目,0,0,その他の核家族世帯,0,0
相生町１丁目,0,0,単独世帯,0,0
相生町１丁目,0,0,夫婦と子供から成る世帯,0,0
相生町１丁目,0,0,夫婦のみの世帯,0,0
相生町１丁目,0,0,核家族以外の世帯,0,0
相生町１丁目,0,0,非親族を含む世帯,0,0
相生町２丁目,0,0,その他の核家族世帯,0,0
相生町２丁目,0,0,単独世帯,0,0
相生町２丁目,0,0,夫婦と子供から成る世帯,0,0
相生町２丁目,0,0,夫婦のみの世帯,0,0
相生町２丁目,0,0,核家族以外の世帯,0,0
相生町２丁目,0,0,非親族を含む世帯,0,0
相生町３丁目,0,0,その他の核家族世帯,0,0
相生町３丁目,0,0,単独世帯,0,0
相生町３丁目,0,0,夫婦と子供から成る世帯,0,0
相生町３丁目,0,0,夫婦のみの世帯,0,0
相生町３丁目,0,0,核家族以外の世帯,0,0
相生町３丁目,0,0,非親族を含む世帯,0,0
銀天町１丁目,1,1,その他の核家族世帯,0,0
銀天町１丁目,1,1,単独世帯,1,1
銀天町１丁目,1,1,夫婦と子供から成る世帯,0,0
銀天町１丁目,1,1,夫婦のみの世帯,0,0
銀天町１丁目,1,1,核家族以外の世帯,0,0
銀天町１丁目,1,1,非親族を含む世帯,0,0
銀天町２丁目,7,7,その他の核家族世帯,0,0
銀天町２丁目,7,7,単独世帯,7,7
銀天町２丁目,7,7,夫婦と子供から成る世帯,0,0
銀天町２丁目,7,7,夫婦のみの世帯,0,0
銀天町２丁目,7,7,核家族以外の世帯,0,0
銀天町２丁目,7,7,非親族を含む世帯,0,0
銀天町３丁目,0,0,その他の核家族世帯,0,0
銀天町３丁目,0,0,単独世帯,0,0
銀天町３丁目,0,0,夫婦と子供から成る世帯,0,0
銀天町３丁目,0,0,夫婦のみの世帯,0,0
銀天町３丁目,0,0,核家族以外の世帯,0,0
銀天町３丁目,0,0,非親族を含む世帯,0,0
寿町１丁目,0,0,その他の核家族世帯,0,0
寿町１丁目,0,0,単独世帯,0,0
寿町１丁目,0,0,夫婦と子供から成る世帯,0,0
寿町１丁目,0,0,夫婦のみの世帯,0,0
寿町１丁目,0,0,核家族以外の世帯,0,0
寿町１丁目,0,0,非親族を含む世帯,0,0
寿町２丁目,7,7,その他の核家族世帯,0,0
寿町２丁目,7,7,単独世帯,7,7
寿町２丁目,7,7,夫婦と子供から成る世帯,0,0
寿町２丁目,7,7,夫婦のみの世帯,0,0
寿町２丁目,7,7,核家族以外の世帯,0,0
寿町２丁目,7,7,非親族を含む世帯,0,0
寿町３丁目,0,0,その他の核家族世帯,0,0
寿町３丁目,0,0,単独世帯,0,0
寿町３丁目,0,0,夫婦と子供から成る世帯,0,0
寿町３丁目,0,0,夫婦のみの世帯,0,0
寿町３丁目,0,0,核家族以外の世帯,0,0
寿町３丁目,0,0,非親族を含む世帯,0,0
昭南町１丁目,0,0,その他の核家族世帯,0,0
昭南町１丁目,0,0,単独世帯,0,0
昭南町１丁目,0,0,夫婦と子供から成る世帯,0,0
昭南町１丁目,0,0,夫婦のみの世帯,0,0
昭南町１丁目,0,0,核家族以外の世帯,0,0
昭南町１丁目,0,0,非親族を含む世帯,0,0
昭南町２丁目,0,0,その他の核家族世帯,0,0
昭南町２丁目,0,0,単独世帯,0,0
昭南町２丁目,0,0,夫婦と子供から成る世帯,0,0
昭南町２丁目,0,0,夫婦のみの世帯,0,0
昭南町２丁目,0,0,核家族以外の世帯,0,0
昭南町２丁目,0,0,非親族を含む世帯,0,0
昭南町３丁目,0,0,その他の核家族世帯,0,0
昭南町３丁目,0,0,単独世帯,0,0
昭南町３丁目,0,0,夫婦と子供から成る世帯,0,0
昭南町３丁目,0,0,夫婦のみの世帯,0,0
昭南町３丁目,0,0,核家族以外の世帯,0,0
昭南町３丁目,0,0,非親族を含む世帯,0,0
新和町１丁目,0,0,その他の核家族世帯,0,0
新和町１丁目,0,0,単独世帯,0,0
新和町１丁目,0,0,夫婦と子供から成る世帯,0,0
新和町１丁目,0,0,夫婦のみの世帯,0,0
新和町１丁目,0,0,核家族以外の世帯,0,0
新和町１丁目,0,0,非親族を含む世帯,0,0
新和町２丁目,3,3,その他の核家族世帯,0,0
新和町２丁目,3,3,単独世帯,3,3
新和町２丁目,3,3,夫婦と子供から成る世帯,0,0
新和町２丁目,3,3,夫婦のみの世帯,0,0
新和町２丁目,3,3,核家族以外の世帯,0,0
新和町２丁目,3,3,非親族を含む世帯,0,0
西春町１丁目,19,19,その他の核家族世帯,0,0
西春町１丁目,19,19,単独世帯,19,19
西春町１丁目,19,19,夫婦と子供から成る世帯,0,0
西春町１丁目,19,19,夫婦のみの世帯,0,0
西春町１丁目,19,19,核家族以外の世帯,0,0
西春町１丁目,19,19,非親族を含む世帯,0,0
西春町２丁目,40,40,その他の核家族世帯,0,0
西春町２丁目,40,40,単独世帯,40,40
西春町２丁目,40,40,夫婦と子供から成る世帯,0,0
西春町２丁目,40,40,夫婦のみの世帯,0,0
西春町２丁目,40,40,核家族以外の世帯,0,0
西春町２丁目,40,40,非親族を含む世帯,0,0
西春町３丁目,0,0,その他の核家族世帯,0,0
西春町３丁目,0,0,単独世帯,0,0
西春町３丁目,0,0,夫婦と子供から成る世帯,0,0
西春町３丁目,0,0,夫婦のみの世帯,0,0
西春町３丁目,0,0,核家族以外の世帯,0,0
西春町３丁目,0,0,非親族を含む世帯,0,0
西春町４丁目,0,0,その他の核家族世帯,0,0
西春町４丁目,0,0,単独世帯,0,0
西春町４丁目,0,0,夫婦と子供から成る世帯,0,0
西春町４丁目,0,0,夫婦のみの世帯,0,0
西春町４丁目,0,0,核家族以外の世帯,0,0
西春町４丁目,0,0,非親族を含む世帯,0,0
春町２丁目,0,0,その他の核家族世帯,0,0
春町２丁目,0,0,単独世帯,0,0
春町２丁目,0,0,夫婦と子供から成る世帯,0,0
春町２丁目,0,0,夫婦のみの世帯,0,0
春町２丁目,0,0,核家族以外の世帯,0,0
春町２丁目,0,0,非親族を含む世帯,0,0
春町３丁目,0,0,その他の核家族世帯,0,0
春町３丁目,0,0,単独世帯,0,0
春町３丁目,0,0,夫婦と子供から成る世帯,0,0
春町３丁目,0,0,夫婦のみの世帯,0,0
春町３丁目,0,0,核家族以外の世帯,0,0
春町３丁目,0,0,非親族を含む世帯,0,0
東雲町１丁目,0,0,その他の核家族世帯,0,0
東雲町１丁目,0,0,単独世帯,0,0
東雲町１丁目,0,0,夫婦と子供から成る世帯,0,0
東雲町１丁目,0,0,夫婦のみの世帯,0,0
東雲町１丁目,0,0,核家族以外の世帯,0,0
東雲町１丁目,0,0,非親族を含む世帯,0,0
東雲町２丁目,0,0,その他の核家族世帯,0,0
東雲町２丁目,0,0,単独世帯,0,0
東雲町２丁目,0,0,夫婦と子供から成る世帯,0,0
東雲町２丁目,0,0,夫婦のみの世帯,0,0
東雲町２丁目,0,0,核家族以外の世帯,0,0
東雲町２丁目,0,0,非親族を含む世帯,0,0
東雲町３丁目,0,0,その他の核家族世帯,0,0
東雲町３丁目,0,0,単独世帯,0,0
東雲町３丁目,0,0,夫婦と子供から成る世帯,0,0
東雲町３丁目,0,0,夫婦のみの世帯,0,0
東雲町３丁目,0,0,核家族以外の世帯,0,0
東雲町３丁目,0,0,非親族を含む世帯,0,0
東雲町４丁目,0,0,その他の核家族世帯,0,0
東雲町４丁目,0,0,単独世帯,0,0
東雲町４丁目,0,0,夫婦と子供から成る世帯,0,0
東雲町４丁目,0,0,夫婦のみの世帯,0,0
東雲町４丁目,0,0,核家族以外の世帯,0,0
東雲町４丁目,0,0,非親族を含む世帯,0,0
光丘町２丁目,5,5,その他の核家族世帯,0,0
光丘町２丁目,5,5,単独世帯,5,5
光丘町２丁目,5,5,夫婦と子供から成る世帯,0,0
光丘町２丁目,5,5,夫婦のみの世帯,0,0
光丘町２丁目,5,5,核家族以外の世帯,0,0
光丘町２丁目,5,5,非親族を含む世帯,0,0
光丘町３丁目,1,1,その他の核家族世帯,0,0
光丘町３丁目,1,1,単独世帯,1,1
光丘町３丁目,1,1,夫婦と子供から成る世帯,0,0
光丘町３丁目,1,1,夫婦のみの世帯,0,0
光丘町３丁目,1,1,核家族以外の世帯,0,0
光丘町３丁目,1,1,非親族を含む世帯,0,0
南本町１丁目,0,0,その他の核家族世帯,0,0
南本町１丁目,0,0,単独世帯,0,0
南本町１丁目,0,0,夫婦と子供から成る世帯,0,0
南本町１丁目,0,0,夫婦のみの世帯,0,0
南本町１丁目,0,0,核家族以外の世帯,0,0
南本町１丁目,0,0,非親族を含む世帯,0,0
南本町２丁目,0,0,その他の核家族世帯,0,0
南本町２丁目,0,0,単独世帯,0,0
南本町２丁目,0,0,夫婦と子供から成る世帯,0,0
南本町２丁目,0,0,夫婦のみの世帯,0,0
南本町２丁目,0,0,核家族以外の世帯,0,0
南本町２丁目,0,0,非親族を含む世帯,0,0
南八幡町１丁目,1,1,その他の核家族世帯,0,0
南八幡町１丁目,1,1,単独世帯,1,1
南八幡町１丁目,1,1,夫婦と子供から成る世帯,0,0
南八幡町１丁目,1,1,夫婦のみの世帯,0,0
南八幡町１丁目,1,1,核家族以外の世帯,0,0
南八幡町１丁目,1,1,非親族を含む世帯,0,0
竹丘町１丁目,0,0,その他の核家族世帯,0,0
竹丘町１丁目,0,0,単独世帯,0,0
竹丘町１丁目,0,0,夫婦と子供から成る世帯,0,0
竹丘町１丁目,0,0,夫婦のみの世帯,0,0
竹丘町１丁目,0,0,核家族以外の世帯,0,0
竹丘町１丁目,0,0,非親族を含む世帯,0,0
竹丘町３丁目,0,0,その他の核家族世帯,0,0
竹丘町３丁目,0,0,単独世帯,0,0
竹丘町３丁目,0,0,夫婦と子供から成る世帯,0,0
竹丘町３丁目,0,0,夫婦のみの世帯,0,0
竹丘町３丁目,0,0,核家族以外の世帯,0,0
竹丘町３丁目,0,0,非親族を含む世帯,0,0
元町１丁目,4,4,その他の核家族世帯,0,0
元町１丁目,4,4,単独世帯,4,4
元町１丁目,4,4,夫婦と子供から成る世帯,0,0
元町１丁目,4,4,夫婦のみの世帯,0,0
元町１丁目,4,4,核家族以外の世帯,0,0
元町１丁目,4,4,非親族を含む世帯,0,0
元町２丁目,0,0,その他の核家族世帯,0,0
元町２丁目,0,0,単独世帯,0,0
元町２丁目,0,0,夫婦と子供から成る世帯,0,0
元町２丁目,0,0,夫婦のみの世帯,0,0
元町２丁目,0,0,核家族以外の世帯,0,0
元町２丁目,0,0,非親族を含む世帯,0,0
元町３丁目,0,0,その他の核家族世帯,0,0
元町３丁目,0,0,単独世帯,0,0
元町３丁目,0,0,夫婦と子供から成る世帯,0,0
元町３丁目,0,0,夫婦のみの世帯,0,0
元町３丁目,0,0,核家族以外の世帯,0,0
元町３丁目,0,0,非親族を含む世帯,0,0
青木２丁目,0,0,その他の核家族世帯,0,0
青木２丁目,0,0,単独世帯,0,0
青木２丁目,0,0,夫婦と子供から成る世帯,0,0
青木２丁目,0,0,夫婦のみの世帯,0,0
青木２丁目,0,0,核家族以外の世帯,0,0
青木２丁目,0,0,非親族を含む世帯,0,0
空港前１丁目,0,0,その他の核家族世帯,0,0
空港前１丁目,0,0,単独世帯,0,0
空港前１丁目,0,0,夫婦と子供から成る世帯,0,0
空港前１丁目,0,0,夫婦のみの世帯,0,0
空港前１丁目,0,0,核家族以外の世帯,0,0
空港前１丁目,0,0,非親族を含む世帯,0,0
空港前２丁目,0,0,その他の核家族世帯,0,0
空港前２丁目,0,0,単独世帯,0,0
空港前２丁目,0,0,夫婦と子供から成る世帯,0,0
空港前２丁目,0,0,夫婦のみの世帯,0,0
空港前２丁目,0,0,核家族以外の世帯,0,0
空港前２丁目,0,0,非親族を含む世帯,0,0
空港前３丁目,0,0,その他の核家族世帯,0,0
空港前３丁目,0,0,単独世帯,0,0
空港前３丁目,0,0,夫婦と子供から成る世帯,0,0
空港前３丁目,0,0,夫婦のみの世帯,0,0
空港前３丁目,0,0,核家族以外の世帯,0,0
空港前３丁目,0,0,非親族を含む世帯,0,0
空港前５丁目,1,1,その他の核家族世帯,0,0
空港前５丁目,1,1,単独世帯,1,1
空港前５丁目,1,1,夫婦と子供から成る世帯,0,0
空港前５丁目,1,1,夫婦のみの世帯,0,0
空港前５丁目,1,1,核家族以外の世帯,0,0
空港前５丁目,1,1,非親族を含む世帯,0,0
東平尾１丁目,11,11,その他の核家族世帯,0,0
東平尾１丁目,11,11,単独世帯,11,11
東平尾１丁目,11,11,夫婦と子供から成る世帯,0,0
東平尾１丁目,11,11,夫婦のみの世帯,0,0
東平尾１丁目,11,11,核家族以外の世帯,0,0
東平尾１丁目,11,11,非親族を含む世帯,0,0
東平尾２丁目,2,2,その他の核家族世帯,0,0
東平尾２丁目,2,2,単独世帯,2,2
東平尾２丁目,2,2,夫婦と子供から成る世帯,0,0
東平尾２丁目,2,2,夫婦のみの世帯,0,0
東平尾２丁目,2,2,核家族以外の世帯,0,0
東平尾２丁目,2,2,非親族を含む世帯,0,0
東平尾３丁目,0,0,その他の核家族世帯,0,0
東平尾３丁目,0,0,単独世帯,0,0
東平尾３丁目,0,0,夫婦と子供から成る世帯,0,0
東平尾３丁目,0,0,夫婦のみの世帯,0,0
東平尾３丁目,0,0,核家族以外の世帯,0,0
東平尾３丁目,0,0,非親族を含む世帯,0,0
東平尾公園１丁目,0,0,その他の核家族世帯,0,0
東平尾公園１丁目,0,0,単独世帯,0,0
東平尾公園１丁目,0,0,夫婦と子供から成る世帯,0,0
東平尾公園１丁目,0,0,夫婦のみの世帯,0,0
東平尾公園１丁目,0,0,核家族以外の世帯,0,0
東平尾公園１丁目,0,0,非親族を含む世帯,0,0
東平尾公園２丁目,0,0,その他の核家族世帯,0,0
東平尾公園２丁目,0,0,単独世帯,0,0
東平尾公園２丁目,0,0,夫婦と子供から成る世帯,0,0
東平尾公園２丁目,0,0,夫婦のみの世帯,0,0
東平尾公園２丁目,0,0,核家族以外の世帯,0,0
東平尾公園２丁目,0,0,非親族を含む世帯,0,0
月隈２丁目,0,0,その他の核家族世帯,0,0
月隈２丁目,0,0,単独世帯,0,0
月隈２丁目,0,0,夫婦と子供から成る世帯,0,0
月隈２丁目,0,0,夫婦のみの世帯,0,0
月隈２丁目,0,0,核家族以外の世帯,0,0
月隈２丁目,0,0,非親族を含む世帯,0,0
月隈３丁目,0,0,その他の核家族世帯,0,0
月隈３丁目,0,0,単独世帯,0,0
月隈３丁目,0,0,夫婦と子供から成る世帯,0,0
月隈３丁目,0,0,夫婦のみの世帯,0,0
月隈３丁目,0,0,核家族以外の世帯,0,0
月隈３丁目,0,0,非親族を含む世帯,0,0
月隈４丁目,0,0,その他の核家族世帯,0,0
月隈４丁目,0,0,単独世帯,0,0
月隈４丁目,0,0,夫婦と子供から成る世帯,0,0
月隈４丁目,0,0,夫婦のみの世帯,0,0
月隈４丁目,0,0,核家族以外の世帯,0,0
月隈４丁目,0,0,非親族を含む世帯,0,0
月隈５丁目,0,0,その他の核家族世帯,0,0
月隈５丁目,0,0,単独世帯,0,0
月隈５丁目,0,0,夫婦と子供から成る世帯,0,0
月隈５丁目,0,0,夫婦のみの世帯,0,0
月隈５丁目,0,0,核家族以外の世帯,0,0
月隈５丁目,0,0,非親族を含む世帯,0,0
月隈６丁目,0,0,その他の核家族世帯,0,0
月隈６丁目,0,0,単独世帯,0,0
月隈６丁目,0,0,夫婦と子供から成る世帯,0,0
月隈６丁目,0,0,夫婦のみの世帯,0,0
月隈６丁目,0,0,核家族以外の世帯,0,0
月隈６丁目,0,0,非親族を含む世帯,0,0
金の隈１丁目,8,8,その他の核家族世帯,0,0
金の隈１丁目,8,8,単独世帯,8,8
金の隈１丁目,8,8,夫婦と子供から成る世帯,0,0
金の隈１丁目,8,8,夫婦のみの世帯,0,0
金の隈１丁目,8,8,核家族以外の世帯,0,0
金の隈１丁目,8,8,非親族を含む世帯,0,0
金の隈２丁目,5,5,その他の核家族世帯,0,0
金の隈２丁目,5,5,単独世帯,5,5
金の隈２丁目,5,5,夫婦と子供から成る世帯,0,0
金の隈２丁目,5,5,夫婦のみの世帯,0,0
金の隈２丁目,5,5,核家族以外の世帯,0,0
金の隈２丁目,5,5,非親族を含む世帯,0,0
博多港,0,0,その他の核家族世帯,0,0
博多港,0,0,単独世帯,0,0
博多港,0,0,夫婦と子供から成る世帯,0,0
博多港,0,0,夫婦のみの世帯,0,0
博多港,0,0,核家族以外の世帯,0,0
博多港,0,0,非親族を含む世帯,0,0
博多駅前２丁目,6,7,その他の核家族世帯,0,0
博多駅前２丁目,6,7,単独世帯,5,5
博多駅前２丁目,6,7,夫婦と子供から成る世帯,0,0
博多駅前２丁目,6,7,夫婦のみの世帯,1,2
博多駅前２丁目,6,7,核家族以外の世帯,0,0
博多駅前２丁目,6,7,非親族を含む世帯,0,0
博多駅東１丁目,8,9,その他の核家族世帯,0,0
博多駅東１丁目,8,9,単独世帯,7,7
博多駅東１丁目,8,9,夫婦と子供から成る世帯,0,0
博多駅東１丁目,8,9,夫婦のみの世帯,1,2
博多駅東１丁目,8,9,核家族以外の世帯,0,0
博多駅東１丁目,8,9,非親族を含む世帯,0,0
博多駅南１丁目,127,128,その他の核家族世帯,0,0
博多駅南１丁目,127,128,単独世帯,126,126
博多駅南１丁目,127,128,夫婦と子供から成る世帯,0,0
博多駅南１丁目,127,128,夫婦のみの世帯,1,2
博多駅南１丁目,127,128,核家族以外の世帯,0,0
博多駅南１丁目,127,128,非親族を含む世帯,0,0
山王２丁目,1,2,その他の核家族世帯,0,0
山王２丁目,1,2,単独世帯,0,0
山王２丁目,1,2,夫婦と子供から成る世帯,0,0
山王２丁目,1,2,夫婦のみの世帯,1,2
山王２丁目,1,2,核家族以外の世帯,0,0
山王２丁目,1,2,非親族を含む世帯,0,0
美野島１丁目,28,29,その他の核家族世帯,0,0
美野島１丁目,28,29,単独世帯,27,27
美野島１丁目,28,29,夫婦と子供から成る世帯,0,0
美野島１丁目,28,29,夫婦のみの世帯,1,2
美野島１丁目,28,29,核家族以外の世帯,0,0
美野島１丁目,28,29,非親族を含む世帯,0,0
中洲５丁目,1,2,その他の核家族世帯,0,0
中洲５丁目,1,2,単独世帯,0,0
中洲５丁目,1,2,夫婦と子供から成る世帯,0,0
中洲５丁目,1,2,夫婦のみの世帯,1,2
中洲５丁目,1,2,核家族以外の世帯,0,0
中洲５丁目,1,2,非親族を含む世帯,0,0
古門戸町,5,6,その他の核家族世帯,0,0
古門戸町,5,6,単独世帯,4,4
古門戸町,5,6,夫婦と子供から成る世帯,0,0
古門戸町,5,6,夫婦のみの世帯,1,2
古門戸町,5,6,核家族以外の世帯,0,0
古門戸町,5,6,非親族を含む世帯,0,0
神屋町,9,10,その他の核家族世帯,0,0
神屋町,9,10,単独世帯,8,8
神屋町,9,10,夫婦と子供から成る世帯,0,0
神屋町,9,10,夫婦のみの世帯,1,2
神屋町,9,10,核家族以外の世帯,0,0
神屋町,9,10,非親族を含む世帯,0,0
石城町,147,148,その他の核家族世帯,0,0
石城町,147,148,単独世帯,146,146
石城町,147,148,夫婦と子供から成る世帯,0,0
石城町,147,148,夫婦のみの世帯,1,2
石城町,147,148,核家族以外の世帯,0,0
石城町,147,148,非親族を含む世帯,0,0
中呉服町,7,8,その他の核家族世帯,0,0
中呉服町,7,8,単独世帯,6,6
中呉服町,7,8,夫婦と子供から成る世帯,0,0
中呉服町,7,8,夫婦のみの世帯,1,2
中呉服町,7,8,核家族以外の世帯,0,0
中呉服町,7,8,非親族を含む世帯,0,0
大博町,41,42,その他の核家族世帯,0,0
大博町,41,42,単独世帯,40,40
大博町,41,42,夫婦と子供から成る世帯,0,0
大博町,41,42,夫婦のみの世帯,1,2
大博町,41,42,核家族以外の世帯,0,0
大博町,41,42,非親族を含む世帯,0,0
千代２丁目,5,6,その他の核家族世帯,0,0
千代２丁目,5,6,単独世帯,4,4
千代２丁目,5,6,夫婦と子供から成る世帯,0,0
千代２丁目,5,6,夫婦のみの世帯,1,2
千代２丁目,5,6,核家族以外の世帯,0,0
千代２丁目,5,6,非親族を含む世帯,0,0
千代３丁目,3,4,その他の核家族世帯,0,0
千代３丁目,3,4,単独世帯,2,2
千代３丁目,3,4,夫婦と子供から成る世帯,0,0
千代３丁目,3,4,夫婦のみの世帯,1,2
千代３丁目,3,4,核家族以外の世帯,0,0
千代３丁目,3,4,非親族を含む世帯,0,0
吉塚本町,12,13,その他の核家族世帯,0,0
吉塚本町,12,13,単独世帯,11,11
吉塚本町,12,13,夫婦と子供から成る世帯,0,0
吉塚本町,12,13,夫婦のみの世帯,1,2
吉塚本町,12,13,核家族以外の世帯,0,0
吉塚本町,12,13,非親族を含む世帯,0,0
豊２丁目,4,5,その他の核家族世帯,0,0
豊２丁目,4,5,単独世帯,3,3
豊２丁目,4,5,夫婦と子供から成る世帯,0,0
豊２丁目,4,5,夫婦のみの世帯,1,2
豊２丁目,4,5,核家族以外の世帯,0,0
豊２丁目,4,5,非親族を含む世帯,0,0
竹下２丁目,94,95,その他の核家族世帯,0,0
竹下２丁目,94,95,単独世帯,93,93
竹下２丁目,94,95,夫婦と子供から成る世帯,0,0
竹下２丁目,94,95,夫婦のみの世帯,1,2
竹下２丁目,94,95,核家族以外の世帯,0,0
竹下２丁目,94,95,非親族を含む世帯,0,0
那珂１丁目,8,9,その他の核家族世帯,0,0
那珂１丁目,8,9,単独世帯,7,7
那珂１丁目,8,9,夫婦と子供から成る世帯,0,0
那珂１丁目,8,9,夫婦のみの世帯,1,2
那珂１丁目,8,9,核家族以外の世帯,0,0
那珂１丁目,8,9,非親族を含む世帯,0,0
麦野３丁目,79,80,その他の核家族世帯,0,0
麦野３丁目,79,80,単独世帯,78,78
麦野３丁目,79,80,夫婦と子供から成る世帯,0,0
麦野３丁目,79,80,夫婦のみの世帯,1,2
麦野３丁目,79,80,核家族以外の世帯,0,0
麦野３丁目,79,80,非親族を含む世帯,0,0
麦野４丁目,5,6,その他の核家族世帯,0,0
麦野４丁目,5,6,単独世帯,4,4
麦野４丁目,5,6,夫婦と子供から成る世帯,0,0
麦野４丁目,5,6,夫婦のみの世帯,1,2
麦野４丁目,5,6,核家族以外の世帯,0,0
麦野４丁目,5,6,非親族を含む世帯,0,0
南八幡町２丁目,1,2,その他の核家族世帯,0,0
南八幡町２丁目,1,2,単独世帯,0,0
南八幡町２丁目,1,2,夫婦と子供から成る世帯,0,0
南八幡町２丁目,1,2,夫婦のみの世帯,1,2
南八幡町２丁目,1,2,核家族以外の世帯,0,0
南八幡町２丁目,1,2,非親族を含む世帯,0,0
月隈１丁目,1,2,その他の核家族世帯,0,0
月隈１丁目,1,2,単独世帯,0,0
月隈１丁目,1,2,夫婦と子供から成る世帯,0,0
月隈１丁目,1,2,夫婦のみの世帯,1,2
月隈１丁目,1,2,核家族以外の世帯,0,0
月隈１丁目,1,2,非親族を含む世帯,0,0
博多駅前４丁目,22,24,その他の核家族世帯,20,19
博多駅前４丁目,22,24,単独世帯,1,1
博多駅前４丁目,22,24,夫婦と子供から成る世帯,0,2
博多駅前４丁目,22,24,夫婦のみの世帯,1,1
博多駅前４丁目,22,24,核家族以外の世帯,0,1
博多駅前４丁目,22,24,非親族を含む世帯,0,0
博多駅東３丁目,6,8,その他の核家族世帯,6,7
博多駅東３丁目,6,8,単独世帯,0,1
博多駅東３丁目,6,8,夫婦と子供から成る世帯,0,0
博多駅東３丁目,6,8,夫婦のみの世帯,0,0
博多駅東３丁目,6,8,核家族以外の世帯,0,0
博多駅東３丁目,6,8,非親族を含む世帯,0,0
博多駅南５丁目,102,104,その他の核家族世帯,92,77
博多駅南５丁目,102,104,単独世帯,2,4
博多駅南５丁目,102,104,夫婦と子供から成る世帯,3,10
博多駅南５丁目,102,104,夫婦のみの世帯,2,5
博多駅南５丁目,102,104,核家族以外の世帯,2,6
博多駅南５丁目,102,104,非親族を含む世帯,1,2
須崎町,3,5,その他の核家族世帯,3,4
須崎町,3,5,単独世帯,0,0
須崎町,3,5,夫婦と子供から成る世帯,0,1
須崎町,3,5,夫婦のみの世帯,0,0
須崎町,3,5,核家族以外の世帯,0,0
須崎町,3,5,非親族を含む世帯,0,0
吉塚３丁目,8,10,その他の核家族世帯,8,8
吉塚３丁目,8,10,単独世帯,0,0
吉塚３丁目,8,10,夫婦と子供から成る世帯,0,1
