Town,NonResSumHouseholds,NonResSumPopulation,FamilyType,NonResHouseholds,NonResPopulation
中洲３丁目,0,0,夫婦と子供から成る世帯,0,0
中洲３丁目,0,0,夫婦のみの世帯,0,0
中洲３丁目,0,0,核家族以外の世帯,0,0
中洲３丁目,0,0,非親族を含む世帯,0,0
中洲４丁目,1,1,その他の核家族世帯,0,0
中洲４丁目,1,1,単独世帯,1,1
中洲４丁目,1,1,夫婦と子供から成る世帯,0,0
中洲４丁目,1,1,夫婦のみの世帯,0,0
中洲４丁目,1,1,核家族以外の世帯,0,0
中洲４丁目,1,1,非親族を含む世帯,0,0
中洲中島町,0,0,その他の核家族世帯,0,0
中洲中島町,0,0,単独世帯,0,0
中洲中島町,0,0,夫婦と子供から成る世帯,0,0
中洲中島町,0,0,夫婦のみの世帯,0,0
中洲中島町,0,0,核家族以外の世帯,0,0
中洲中島町,0,0,非親族を含む世帯,0,0
対馬小路,5,5,その他の核家族世帯,0,0
対馬小路,5,5,単独世帯,5,5
対馬小路,5,5,夫婦と子供から成る世帯,0,0
対馬小路,5,5,夫婦のみの世帯,0,0
対馬小路,5,5,核家族以外の世帯,0,0
対馬小路,5,5,非親族を含む世帯,0,0
築港本町,1,1,その他の核家族世帯,0,0
築港本町,1,1,単独世帯,1,1
築港本町,1,1,夫婦と子供から成る世帯,0,0
築港本町,1,1,夫婦のみの世帯,0,0
築港本町,1,1,核家族以外の世帯,0,0
築港本町,1,1,非親族を含む世帯,0,0
奈良屋町,15,15,その他の核家族世帯,0,0
奈良屋町,15,15,単独世帯,15,15
奈良屋町,15,15,夫婦と子供から成る世帯,0,0
奈良屋町,15,15,夫婦のみの世帯,0,0
奈良屋町,15,15,核家族以外の世帯,0,0
奈良屋町,15,15,非親族を含む世帯,0,0
綱場町,2,2,その他の核家族世帯,0,0
綱場町,2,2,単独世帯,2,2
綱場町,2,2,夫婦と子供から成る世帯,0,0
綱場町,2,2,夫婦のみの世帯,0,0
綱場町,2,2,核家族以外の世帯,0,0
綱場町,2,2,非親族を含む世帯,0,0
上呉服町,1,1,その他の核家族世帯,0,0
上呉服町,1,1,単独世帯,1,1
上呉服町,1,1,夫婦と子供から成る世帯,0,0
上呉服町,1,1,夫婦のみの世帯,0,0
上呉服町,1,1,核家族以外の世帯,0,0
上呉服町,1,1,非親族を含む世帯,0,0
下呉服町,0,0,その他の核家族世帯,0,0
下呉服町,0,0,単独世帯,0,0
下呉服町,0,0,夫婦と子供から成る世帯,0,0
下呉服町,0,0,夫婦のみの世帯,0,0
下呉服町,0,0,核家族以外の世帯,0,0
下呉服町,0,0,非親族を含む世帯,0,0
千代４丁目,126,126,その他の核家族世帯,0,0
千代４丁目,126,126,単独世帯,126,126
千代４丁目,126,126,夫婦と子供から成る世帯,0,0
千代４丁目,126,126,夫婦のみの世帯,0,0
千代４丁目,126,126,核家族以外の世帯,0,0
千代４丁目,126,126,非親族を含む世帯,0,0
千代５丁目,58,58,その他の核家族世帯,0,0
千代５丁目,58,58,単独世帯,58,58
千代５丁目,58,58,夫婦と子供から成る世帯,0,0
千代５丁目,58,58,夫婦のみの世帯,0,0
千代５丁目,58,58,核家族以外の世帯,0,0
千代５丁目,58,58,非親族を含む世帯,0,0
千代６丁目,0,0,その他の核家族世帯,0,0
千代６丁目,0,0,単独世帯,0,0
千代６丁目,0,0,夫婦と子供から成る世帯,0,0
千代６丁目,0,0,夫婦のみの世帯,0,0
千代６丁目,0,0,核家族以外の世帯,0,0
千代６丁目,0,0,非親族を含む世帯,0,0
東公園,0,0,その他の核家族世帯,0,0
東公園,0,0,単独世帯,0,0
東公園,0,0,夫婦と子供から成る世帯,0,0
東公園,0,0,夫婦のみの世帯,0,0
東公園,0,0,核家族以外の世帯,0,0
東公園,0,0,非親族を含む世帯,0,0
吉塚２丁目,0,0,その他の核家族世帯,0,0
吉塚２丁目,0,0,単独世帯,0,0
吉塚２丁目,0,0,夫婦と子供から成る世帯,0,0
吉塚２丁目,0,0,夫婦のみの世帯,0,0
吉塚２丁目,0,0,核家族以外の世帯,0,0
吉塚２丁目,0,0,非親族を含む世帯,0,0
吉塚４丁目,9,9,その他の核家族世帯,0,0
吉塚４丁目,9,9,単独世帯,9,9
吉塚４丁目,9,9,夫婦と子供から成る世帯,0,0
吉塚４丁目,9,9,夫婦のみの世帯,0,0
吉塚４丁目,9,9,核家族以外の世帯,0,0
吉塚４丁目,9,9,非親族を含む世帯,0,0
吉塚５丁目,55,55,その他の核家族世帯,0,0
吉塚５丁目,55,55,単独世帯,55,55
吉塚５丁目,55,55,夫婦と子供から成る世帯,0,0
吉塚５丁目,55,55,夫婦のみの世帯,0,0
吉塚５丁目,55,55,核家族以外の世帯,0,0
吉塚５丁目,55,55,非親族を含む世帯,0,0
吉塚７丁目,8,8,その他の核家族世帯,0,0
吉塚７丁目,8,8,単独世帯,8,8
吉塚７丁目,8,8,夫婦と子供から成る世帯,0,0
吉塚７丁目,8,8,夫婦のみの世帯,0,0
吉塚７丁目,8,8,核家族以外の世帯,0,0
吉塚７丁目,8,8,非親族を含む世帯,0,0
吉塚８丁目,0,0,その他の核家族世帯,0,0
吉塚８丁目,0,0,単独世帯,0,0
吉塚８丁目,0,0,夫婦と子供から成る世帯,0,0
吉塚８丁目,0,0,夫婦のみの世帯,0,0
吉塚８丁目,0,0,核家族以外の世帯,0,0
吉塚８丁目,0,0,非親族を含む世帯,0,0
豊１丁目,2,2,その他の核家族世帯,0,0
豊１丁目,2,2,単独世帯,2,2
豊１丁目,2,2,夫婦と子供から成る世帯,0,0
豊１丁目,2,2,夫婦のみの世帯,0,0
豊１丁目,2,2,核家族以外の世帯,0,0
豊１丁目,2,2,非親族を含む世帯,0,0
榎田１丁目,0,0,その他の核家族世帯,0,0
榎田１丁目,0,0,単独世帯,0,0
榎田１丁目,0,0,夫婦と子供から成る世帯,0,0
榎田１丁目,0,0,夫婦のみの世帯,0,0
榎田１丁目,0,0,核家族以外の世帯,0,0
榎田１丁目,0,0,非親族を含む世帯,0,0
榎田２丁目,0,0,その他の核家族世帯,0,0
榎田２丁目,0,0,単独世帯,0,0
榎田２丁目,0,0,夫婦と子供から成る世帯,0,0
榎田２丁目,0,0,夫婦のみの世帯,0,0
榎田２丁目,0,0,核家族以外の世帯,0,0
榎田２丁目,0,0,非親族を含む世帯,0,0
堅粕１丁目,0,0,その他の核家族世帯,0,0
堅粕１丁目,0,0,単独世帯,0,0
堅粕１丁目,0,0,夫婦と子供から成る世帯,0,0
堅粕１丁目,0,0,夫婦のみの世帯,0,0
堅粕１丁目,0,0,核家族以外の世帯,0,0
堅粕１丁目,0,0,非親族を含む世帯,0,0
堅粕３丁目,0,0,その他の核家族世帯,0,0
堅粕３丁目,0,0,単独世帯,0,0
堅粕３丁目,0,0,夫婦と子供から成る世帯,0,0
堅粕３丁目,0,0,夫婦のみの世帯,0,0
堅粕３丁目,0,0,核家族以外の世帯,0,0
堅粕３丁目,0,0,非親族を含む世帯,0,0
