Town,TotalError,family_error,ownership_error,area_error,building_error
諸岡５丁目,44.0,0,0.0,0.0,44
諸岡６丁目,33.0,0,0.0,0.0,33
麦野１丁目,10.0,0,1.0,0.0,9
麦野２丁目,8.0,0,0.0,0.0,8
麦野３丁目,89.0,0,0.0,0.0,89
麦野４丁目,22.0,0,0.0,0.0,22
麦野５丁目,12.0,0,0.0,0.0,12
麦野６丁目,11.0,0,0.0,0.0,11
井相田１丁目,28.0,0,6.0,0.0,22
井相田２丁目,8.0,0,7.0,0.0,1
井相田３丁目,12.0,0,0.0,0.0,12
三筑１丁目,62.0,0,0.0,0.0,62
三筑２丁目,13.0,0,1.0,0.0,12
相生町１丁目,35.0,0,32.0,0.0,3
相生町２丁目,2.0,0,1.0,0.0,1
相生町３丁目,4.0,0,1.0,0.0,3
銀天町１丁目,7.0,0,6.0,0.0,1
銀天町２丁目,9.0,0,0.0,0.0,9
銀天町３丁目,2.0,0,0.0,0.0,2
寿町１丁目,45.0,0,29.0,0.0,16
寿町２丁目,8.0,0,0.0,0.0,8
寿町３丁目,1.0,0,0.0,0.0,1
昭南町１丁目,7.0,0,3.0,0.0,4
昭南町２丁目,1.0,0,1.0,0.0,0
昭南町３丁目,2.0,0,1.0,0.0,1
新和町１丁目,34.0,0,32.0,0.0,2
新和町２丁目,6.0,0,0.0,0.0,6
西春町１丁目,21.0,0,0.0,0.0,21
西春町２丁目,42.0,0,0.0,0.0,42
西春町３丁目,2.0,0,1.0,0.0,1
西春町４丁目,2.0,0,1.0,0.0,1
春町１丁目,16.0,0,0.0,0.0,16
春町２丁目,2.0,0,1.0,0.0,1
春町３丁目,2.0,0,1.0,0.0,1
東雲町１丁目,3.0,0,2.0,0.0,1
東雲町２丁目,4.0,0,1.0,0.0,3
東雲町３丁目,5.0,0,2.0,0.0,3
東雲町４丁目,3.0,0,2.0,0.0,1
光丘町１丁目,5.0,0,0.0,0.0,5
光丘町２丁目,5.0,0,0.0,0.0,5
光丘町３丁目,3.0,0,0.0,0.0,3
南本町１丁目,3.0,0,3.0,0.0,0
南本町２丁目,7.0,0,7.0,0.0,0
南八幡町１丁目,9.0,0,0.0,0.0,9
南八幡町２丁目,8.0,0,0.0,0.0,8
竹丘町１丁目,2.0,0,1.0,0.0,1
竹丘町２丁目,5.0,0,0.0,0.0,5
竹丘町３丁目,71.0,0,71.0,0.0,0
元町１丁目,5.0,0,0.0,0.0,5
元町２丁目,3.0,0,0.0,0.0,3
元町３丁目,33.0,0,26.0,0.0,7
青木１丁目,12.0,0,1.0,0.0,11
青木２丁目,13.0,0,5.0,0.0,8
空港前１丁目,5.0,0,3.0,0.0,2
空港前２丁目,3.0,0,1.0,0.0,2
空港前３丁目,6.0,0,0.0,0.0,6
空港前４丁目,33.0,0,0.0,0.0,33
空港前５丁目,2.0,0,0.0,0.0,2
東平尾１丁目,20.0,0,0.0,0.0,20
東平尾２丁目,6.0,0,0.0,0.0,6
東平尾３丁目,0.0,0,0.0,0.0,0
東平尾公園１丁目,0.0,0,0.0,0.0,0
東平尾公園２丁目,0.0,0,0.0,0.0,0
月隈１丁目,8.0,0,2.0,0.0,6
月隈２丁目,4.0,0,0.0,0.0,4
月隈３丁目,5.0,0,0.0,0.0,5
月隈４丁目,0.0,0,0.0,0.0,0
月隈５丁目,0.0,0,0.0,0.0,0
月隈６丁目,9.0,0,3.0,0.0,6
立花寺,9.0,0,0.0,0.0,9
金の隈１丁目,17.0,0,0.0,0.0,17
金の隈２丁目,10.0,0,0.0,0.0,10
金の隈３丁目,53.0,0,0.0,0.0,53
博多港,0.0,0,0.0,0.0,0
